国名,RGBコード,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
USA,"250, 191, 28",48.65150455,50.07024213,51.7921198,53.30229745,55.13862579,56.78111087,57.89011874,59.93293305,62.85228926,64.95756113,63.84321964,70.16274619,76.44140625
China,"187, 100, 29",4.550473944,5.618166177,6.316885294,7.050694067,7.678556987,8.066956885,8.147964683,8.879497784,9.976741982,10.21435056,10.47340364,12.61804115,12.50394785
Japan,"35, 127, 196",44.96815623,48.76007895,49.14528043,40.8986479,38.47539524,34.96063938,39.40073936,38.89108627,39.83969647,40.56105447,40.13421844,40.14849111,34.07854893
UK,"219, 83, 52",39.60328868,42.09214863,42.49027994,43.41923835,47.42698795,44.98381641,40.98804195,40.62923403,43.3155528,42.79419494,40.42015087,46.89970152,45.69444937
Singapore,"145, 112, 175",47.23668309,53.89145703,55.54755531,56.9674258,57.56480232,55.64560687,56.89565831,61.16489736,66.836522,64.92721923,60.390378,74.35036851,84.87062305
