年次,市区町村コード,全国，都道府県，市区町村,昼間人口
2020年,14118,横浜市都筑区,"203,901"
2020年,14130,川崎市,"1,342,397"
2020年,14131,川崎市川崎区,"270,642"
2020年,14132,川崎市幸区,"163,160"
2020年,14133,川崎市中原区,"219,767"
2020年,14134,川崎市高津区,"192,337"
2020年,14135,川崎市多摩区,"175,337"
2020年,14136,川崎市宮前区,"174,215"
2020年,14137,川崎市麻生区,"146,939"
2020年,14150,相模原市,"645,219"
2020年,14151,相模原市緑区,"153,256"
2020年,14152,相模原市中央区,"253,174"
2020年,14153,相模原市南区,"238,789"
2020年,14201,横須賀市,"357,706"
2020年,14203,平塚市,"255,152"
2020年,14204,鎌倉市,"167,884"
2020年,14205,藤沢市,"405,999"
2020年,14206,小田原市,"183,931"
2020年,14207,茅ヶ崎市,"197,099"
2020年,14208,逗子市,"46,568"
2020年,14210,三浦市,"36,860"
2020年,14211,秦野市,"142,491"
2020年,14212,厚木市,"259,057"
2020年,14213,大和市,"209,220"
2020年,14214,伊勢原市,"97,238"
2020年,14215,海老名市,"128,095"
2020年,14216,座間市,"116,203"
2020年,14217,南足柄市,"35,489"
2020年,14218,綾瀬市,"80,529"
2020年,14301,葉山町,"24,625"
2020年,14321,寒川町,"45,799"
2020年,14341,大磯町,"25,154"
2020年,14342,二宮町,"20,793"
2020年,14361,中井町,"12,013"
2020年,14362,大井町,"14,687"
2020年,14363,松田町,"10,468"
2020年,14364,山北町,"9,691"
2020年,14366,開成町,"15,723"
2020年,14382,箱根町,"17,307"
2020年,14383,真鶴町,"5,126"
2020年,14384,湯河原町,"20,636"
2020年,14401,愛川町,"40,936"
2020年,14402,清川村,"2,876"
2020年,15000,新潟県,"2,200,267"
2020年,15100,新潟市,"799,446"
2020年,15101,新潟市北区,"70,513"
2020年,15102,新潟市東区,"124,337"
2020年,15103,新潟市中央区,"232,902"
2020年,15104,新潟市江南区,"67,440"
2020年,15105,新潟市秋葉区,"64,612"
2020年,15106,新潟市南区,"42,089"
2020年,15107,新潟市西区,"146,281"
2020年,15108,新潟市西蒲区,"51,272"
2020年,15202,長岡市,"273,428"
2020年,15204,三条市,"98,577"
2020年,15205,柏崎市,"83,010"
2020年,15206,新発田市,"91,958"
2020年,15208,小千谷市,"34,141"
2020年,15209,加茂市,"23,740"
2020年,15210,十日町市,"48,692"
2020年,15211,見附市,"34,729"
2020年,15212,村上市,"55,745"
2020年,15213,燕市,"77,226"
2020年,15216,糸魚川市,"40,426"
2020年,15217,妙高市,"29,391"
2020年,15218,五泉市,"42,772"
2020年,15222,上越市,"188,219"
2020年,15223,阿賀野市,"36,996"
2020年,15224,佐渡市,"51,500"
2020年,15225,魚沼市,"32,847"
2020年,15226,南魚沼市,"55,163"
2020年,15227,胎内市,"28,326"
2020年,15307,聖籠町,"18,510"
2020年,15342,弥彦村,"6,688"
2020年,15361,田上町,"8,799"
2020年,15385,阿賀町,"9,491"
2020年,15405,出雲崎町,"3,610"
2020年,15461,湯沢町,"8,686"
2020年,15482,津南町,"8,989"
2020年,15504,刈羽村,"4,379"
2020年,15581,関川村,"4,427"
2020年,15586,粟島浦村,356
2020年,16000,富山県,"1,032,775"
2020年,16201,富山市,"436,841"
2020年,16202,高岡市,"165,976"
2020年,16204,魚津市,"40,199"
2020年,16205,氷見市,"37,722"
2020年,16206,滑川市,"30,426"
2020年,16207,黒部市,"41,960"
2020年,16208,砺波市,"45,431"
2020年,16209,小矢部市,"29,020"
2020年,16210,南砺市,"46,935"
2020年,16211,射水市,"87,129"
2020年,16321,舟橋村,"2,213"
2020年,16322,上市町,"17,184"
2020年,16323,立山町,"20,741"
2020年,16342,入善町,"21,428"
2020年,16343,朝日町,"9,570"
2020年,17000,石川県,"1,134,448"
2020年,17201,金沢市,"497,783"
2020年,17202,七尾市,"52,447"
2020年,17203,小松市,"107,410"
2020年,17204,輪島市,"24,741"
2020年,17205,珠洲市,"13,048"
2020年,17206,加賀市,"61,556"
2020年,17207,羽咋市,"20,393"
2020年,17209,かほく市,"30,870"
2020年,17210,白山市,"108,140"
2020年,17211,能美市,"46,095"
2020年,17212,野々市市,"52,274"
2020年,17324,川北町,"5,710"
2020年,17361,津幡町,"28,093"
2020年,17365,内灘町,"20,046"
2020年,17384,志賀町,"18,279"
2020年,17386,宝達志水町,"10,454"
2020年,17407,中能登町,"13,798"
2020年,17461,穴水町,"8,252"
2020年,17463,能登町,"15,059"
2020年,18000,福井県,"767,987"
2020年,18201,福井市,"286,221"
2020年,18202,敦賀市,"64,809"
2020年,18204,小浜市,"29,319"
2020年,18205,大野市,"28,812"
2020年,18206,勝山市,"20,341"
2020年,18207,鯖江市,"62,965"
2020年,18208,あわら市,"26,754"
2020年,18209,越前市,"83,782"
2020年,18210,坂井市,"79,056"
2020年,18322,永平寺町,"16,781"
2020年,18382,池田町,"2,157"
2020年,18404,南越前町,"7,702"
2020年,18423,越前町,"16,677"
2020年,18442,美浜町,"9,797"
2020年,18481,高浜町,"11,340"
2020年,18483,おおい町,"8,232"
2020年,18501,若狭町,"13,242"
2020年,19000,山梨県,"803,946"
2020年,19201,甲府市,"214,429"
2020年,19202,富士吉田市,"45,962"
2020年,19204,都留市,"30,251"
2020年,19205,山梨市,"30,636"
2020年,19206,大月市,"20,745"
2020年,19207,韮崎市,"31,588"
2020年,19208,南アルプス市,"61,592"
2020年,19209,北杜市,"45,656"
2020年,19210,甲斐市,"58,828"
2020年,19211,笛吹市,"61,627"
2020年,19212,上野原市,"22,354"
2020年,19213,甲州市,"26,871"
2020年,19214,中央市,"32,257"
2020年,19346,市川三郷町,"13,199"
2020年,19364,早川町,"1,366"
2020年,19365,身延町,"10,920"
2020年,19366,南部町,"6,284"
2020年,19368,富士川町,"12,704"
2020年,19384,昭和町,"26,190"
2020年,19422,道志村,"1,355"
2020年,19423,西桂町,"3,010"
2020年,19424,忍野村,"10,771"
2020年,19425,山中湖村,"5,482"
2020年,19429,鳴沢村,"2,851"
2020年,19430,富士河口湖町,"25,821"
2020年,19442,小菅村,691
2020年,19443,丹波山村,506
2020年,20000,長野県,"2,042,696"
2020年,20201,長野市,"383,757"
2020年,20202,松本市,"255,115"
2020年,20203,上田市,"156,464"
2020年,20204,岡谷市,"47,033"
2020年,20205,飯田市,"102,005"
2020年,20206,諏訪市,"51,928"
2020年,20207,須坂市,"48,427"
2020年,20208,小諸市,"39,887"
2020年,20209,伊那市,"66,677"
2020年,20210,駒ヶ根市,"33,443"
2020年,20211,中野市,"42,301"
2020年,20212,大町市,"26,714"
2020年,20213,飯山市,"19,539"
2020年,20214,茅野市,"55,259"
2020年,20215,塩尻市,"66,280"
2020年,20217,佐久市,"97,468"
2020年,20218,千曲市,"54,812"
2020年,20219,東御市,"28,906"
2020年,20220,安曇野市,"87,061"
2020年,20303,小海町,"4,547"
2020年,20304,川上村,"4,372"
2020年,20305,南牧村,"3,598"
2020年,20306,南相木村,794
2020年,20307,北相木村,634
2020年,20309,佐久穂町,"8,496"
2020年,20321,軽井沢町,"23,358"
2020年,20323,御代田町,"13,692"
2020年,20324,立科町,"6,233"
2020年,20349,青木村,"3,384"
2020年,20350,長和町,"4,885"
2020年,20361,下諏訪町,"17,889"
2020年,20362,富士見町,"15,205"
2020年,20363,原村,"6,556"
2020年,20382,辰野町,"18,056"
2020年,20383,箕輪町,"24,279"
2020年,20384,飯島町,"8,448"
2020年,20385,南箕輪村,"14,269"
2020年,20386,中川村,"3,762"
2020年,20388,宮田村,"8,312"
2020年,20402,松川町,"11,896"
2020年,20403,高森町,"11,320"
2020年,20404,阿南町,"4,447"
2020年,20407,阿智村,"6,237"
2020年,20409,平谷村,363
2020年,20410,根羽村,815
2020年,20411,下條村,"2,945"
2020年,20412,売木村,565
2020年,20413,天龍村,"1,179"
2020年,20414,泰阜村,"1,326"
2020年,20415,喬木村,"5,038"
2020年,20416,豊丘村,"5,594"
2020年,20417,大鹿村,"1,119"
2020年,20422,上松町,"4,103"
2020年,20423,南木曽町,"3,868"
2020年,20425,木祖村,"2,273"
2020年,20429,王滝村,710
2020年,20430,大桑村,"3,322"
2020年,20432,木曽町,"11,247"
2020年,20446,麻績村,"2,227"
2020年,20448,生坂村,"1,407"
2020年,20450,山形村,"7,212"
2020年,20451,朝日村,"3,660"
2020年,20452,筑北村,"3,364"
2020年,20481,池田町,"8,724"
2020年,20482,松川村,"7,245"
2020年,20485,白馬村,"8,607"
2020年,20486,小谷村,"2,648"
2020年,20521,坂城町,"15,029"
2020年,20541,小布施町,"9,042"
2020年,20543,高山村,"5,417"
2020年,20561,山ノ内町,"9,965"
2020年,20562,木島平村,"3,875"
2020年,20563,野沢温泉村,"3,035"
2020年,20583,信濃町,"7,225"
2020年,20588,小川村,"1,816"
2020年,20590,飯綱町,"8,338"
2020年,20602,栄村,"1,648"
2020年,21000,岐阜県,"1,911,876"
2020年,21201,岐阜市,"411,497"
2020年,21202,大垣市,"163,768"
2020年,21203,高山市,"85,345"
2020年,21204,多治見市,"96,784"
2020年,21205,関市,"87,254"
2020年,21206,中津川市,"75,477"
2020年,21207,美濃市,"20,224"
2020年,21208,瑞浪市,"35,022"
2020年,21209,羽島市,"57,394"
2020年,21210,恵那市,"46,943"
2020年,21211,美濃加茂市,"55,378"
2020年,21212,土岐市,"53,195"
2020年,21213,各務原市,"136,598"
2020年,21214,可児市,"96,289"
2020年,21215,山県市,"22,143"
2020年,21216,瑞穂市,"46,187"
2020年,21217,飛騨市,"21,833"
2020年,21218,本巣市,"33,062"
2020年,21219,郡上市,"38,276"
2020年,21220,下呂市,"30,297"
2020年,21221,海津市,"29,117"
2020年,21302,岐南町,"24,949"
2020年,21303,笠松町,"20,146"
2020年,21341,養老町,"24,418"
2020年,21361,垂井町,"23,558"
2020年,21362,関ケ原町,"6,498"
2020年,21381,神戸町,"15,885"
2020年,21382,輪之内町,"9,431"
2020年,21383,安八町,"12,526"
2020年,21401,揖斐川町,"19,037"
2020年,21403,大野町,"17,890"
2020年,21404,池田町,"20,089"
2020年,21421,北方町,"14,773"
2020年,21501,坂祝町,"7,668"
2020年,21502,富加町,"5,900"
2020年,21503,川辺町,"7,928"
2020年,21504,七宗町,"2,997"
2020年,21505,八百津町,"9,492"
2020年,21506,白川町,"6,997"
2020年,21507,東白川村,"1,862"
2020年,21521,御嵩町,"16,200"
2020年,21604,白川村,"1,549"
2020年,22000,静岡県,"3,625,491"
2020年,22100,静岡市,"713,197"
2020年,22101,静岡市葵区,"270,866"
2020年,22102,静岡市駿河区,"214,124"
2020年,22103,静岡市清水区,"228,207"
2020年,22130,浜松市,"783,766"
2020年,22131,浜松市中区,"249,152"
2020年,22132,浜松市東区,"126,138"
2020年,22133,浜松市西区,"97,536"
2020年,22134,浜松市南区,"96,652"
2020年,22135,浜松市北区,"98,481"
2020年,22136,浜松市浜北区,"89,910"
2020年,22137,浜松市天竜区,"25,897"
2020年,22203,沼津市,"204,356"
2020年,22205,熱海市,"37,413"
2020年,22206,三島市,"103,237"
2020年,22207,富士宮市,"122,282"
2020年,22208,伊東市,"63,019"
2020年,22209,島田市,"88,727"
2020年,22210,富士市,"242,701"
2020年,22211,磐田市,"171,086"
2020年,22212,焼津市,"128,682"
2020年,22213,掛川市,"115,361"
2020年,22214,藤枝市,"130,492"
2020年,22215,御殿場市,"86,611"
2020年,22216,袋井市,"86,696"
2020年,22219,下田市,"20,917"
2020年,22220,裾野市,"52,141"
2020年,22221,湖西市,"65,179"
2020年,22222,伊豆市,"26,940"
2020年,22223,御前崎市,"30,129"
2020年,22224,菊川市,"45,103"
2020年,22225,伊豆の国市,"44,990"
2020年,22226,牧之原市,"49,988"
2020年,22301,東伊豆町,"11,159"
2020年,22302,河津町,"6,485"
2020年,22304,南伊豆町,"7,500"
2020年,22305,松崎町,"5,675"
2020年,22306,西伊豆町,"7,000"
2020年,22325,函南町,"29,640"
2020年,22341,清水町,"30,482"
2020年,22342,長泉町,"40,942"
2020年,22344,小山町,"19,420"
2020年,22424,吉田町,"30,423"
2020年,22429,川根本町,"6,061"
2020年,22461,森町,"17,691"
2020年,23000,愛知県,"7,629,723"
2020年,23100,名古屋市,"2,594,018"
2020年,23101,名古屋市千種区,"177,394"
2020年,23102,名古屋市東区,"126,399"
2020年,23103,名古屋市北区,"148,326"
2020年,23104,名古屋市西区,"157,456"
2020年,23105,名古屋市中村区,"239,848"
2020年,23106,名古屋市中区,"294,608"
2020年,23107,名古屋市昭和区,"121,955"
2020年,23108,名古屋市瑞穂区,"107,992"
2020年,23109,名古屋市熱田区,"87,830"
2020年,23110,名古屋市中川区,"194,572"
2020年,23111,名古屋市港区,"164,696"
2020年,23112,名古屋市南区,"135,989"
2020年,23113,名古屋市守山区,"153,225"
2020年,23114,名古屋市緑区,"198,195"
2020年,23115,名古屋市名東区,"141,161"
2020年,23116,名古屋市天白区,"144,372"
2020年,23201,豊橋市,"361,317"
2020年,23202,岡崎市,"365,085"
2020年,23203,一宮市,"334,135"
2020年,23204,瀬戸市,"116,028"
2020年,23205,半田市,"118,122"
2020年,23206,春日井市,"281,390"
2020年,23207,豊川市,"172,462"
2020年,23208,津島市,"57,394"
2020年,23209,碧南市,"71,348"
2020年,23210,刈谷市,"186,355"
2020年,23211,豊田市,"469,093"
2020年,23212,安城市,"199,391"
2020年,23213,西尾市,"164,217"
2020年,23214,蒲郡市,"74,404"
2020年,23215,犬山市,"70,270"
2020年,23216,常滑市,"61,339"
2020年,23217,江南市,"82,300"
2020年,23219,小牧市,"176,255"
2020年,23220,稲沢市,"129,117"
2020年,23221,新城市,"43,444"
2020年,23222,東海市,"115,790"
2020年,23223,大府市,"95,861"
2020年,23224,知多市,"65,854"
2020年,23225,知立市,"59,934"
2020年,23226,尾張旭市,"66,903"
2020年,23227,高浜市,"42,551"
2020年,23228,岩倉市,"39,048"
2020年,23229,豊明市,"65,892"
2020年,23230,日進市,"83,994"
2020年,23231,田原市,"64,278"
2020年,23232,愛西市,"49,231"
2020年,23233,清須市,"62,295"
2020年,23234,北名古屋市,"77,622"
2020年,23235,弥富市,"42,653"
2020年,23236,みよし市,"62,638"
2020年,23237,あま市,"71,995"
2020年,23238,長久手市,"63,489"
2020年,23302,東郷町,"36,275"
2020年,23342,豊山町,"19,886"
2020年,23361,大口町,"33,351"
2020年,23362,扶桑町,"26,748"
2020年,23424,大治町,"24,592"
2020年,23425,蟹江町,"30,409"
2020年,23427,飛島村,"12,923"
2020年,23441,阿久比町,"24,679"
2020年,23442,東浦町,"41,183"
2020年,23445,南知多町,"15,744"
2020年,23446,美浜町,"20,456"
2020年,23447,武豊町,"37,528"
2020年,23501,幸田町,"39,668"
2020年,23561,設楽町,"4,823"
2020年,23562,東栄町,"2,865"
2020年,23563,豊根村,"1,081"
2020年,24000,三重県,"1,745,312"
2020年,24201,津市,"282,357"
2020年,24202,四日市市,"319,793"
2020年,24203,伊勢市,"122,959"
2020年,24204,松阪市,"152,292"
2020年,24205,桑名市,"128,564"
2020年,24207,鈴鹿市,"185,194"
2020年,24208,名張市,"67,501"
2020年,24209,尾鷲市,"16,734"
2020年,24210,亀山市,"49,763"
2020年,24211,鳥羽市,"18,578"
2020年,24212,熊野市,"16,254"
2020年,24214,いなべ市,"49,654"
2020年,24215,志摩市,"43,015"
2020年,24216,伊賀市,"94,910"
2020年,24303,木曽岬町,"5,732"
2020年,24324,東員町,"22,435"
2020年,24341,菰野町,"34,317"
2020年,24343,朝日町,"9,164"
2020年,24344,川越町,"14,396"
2020年,24441,多気町,"14,650"
2020年,24442,明和町,"19,812"
2020年,24443,大台町,"8,320"
2020年,24461,玉城町,"14,515"
2020年,24470,度会町,"6,142"
2020年,24471,大紀町,"7,049"
2020年,24472,南伊勢町,"10,362"
2020年,24543,紀北町,"14,118"
2020年,24561,御浜町,"7,732"
2020年,24562,紀宝町,"9,000"
2020年,25000,滋賀県,"1,369,233"
2020年,25201,大津市,"313,359"
2020年,25202,彦根市,"113,885"
2020年,25203,長浜市,"110,884"
2020年,25204,近江八幡市,"73,849"
2020年,25206,草津市,"153,844"
2020年,25207,守山市,"74,903"
2020年,25208,栗東市,"67,551"
2020年,25209,甲賀市,"89,014"
2020年,25210,野洲市,"52,035"
2020年,25211,湖南市,"53,106"
2020年,25212,高島市,"44,050"
2020年,25213,東近江市,"106,988"
2020年,25214,米原市,"34,796"
2020年,25383,日野町,"21,575"
2020年,25384,竜王町,"17,222"
2020年,25425,愛荘町,"20,640"
2020年,25441,豊郷町,"6,965"
2020年,25442,甲良町,"6,188"
2020年,25443,多賀町,"8,379"
2020年,26000,京都府,"2,622,355"
2020年,26100,京都市,"1,586,326"
2020年,26101,京都市北区,"120,786"
2020年,26102,京都市上京区,"99,271"
2020年,26103,京都市左京区,"174,471"
2020年,26104,京都市中京区,"152,398"
2020年,26105,京都市東山区,"51,808"
2020年,26106,京都市下京区,"133,059"
2020年,26107,京都市南区,"136,438"
2020年,26108,京都市右京区,"190,884"
2020年,26109,京都市伏見区,"274,488"
2020年,26110,京都市山科区,"124,517"
2020年,26111,京都市西京区,"128,206"
2020年,26201,福知山市,"81,268"
2020年,26202,舞鶴市,"78,703"
2020年,26203,綾部市,"33,071"
2020年,26204,宇治市,"157,716"
2020年,26205,宮津市,"17,931"
2020年,26206,亀岡市,"75,448"
2020年,26207,城陽市,"64,455"
2020年,26208,向日市,"45,207"
2020年,26209,長岡京市,"73,444"
2020年,26210,八幡市,"63,941"
2020年,26211,京田辺市,"72,948"
2020年,26212,京丹後市,"49,491"
2020年,26213,南丹市,"33,176"
2020年,26214,木津川市,"62,661"
2020年,26303,大山崎町,"13,504"
2020年,26322,久御山町,"28,497"
2020年,26343,井手町,"6,969"
2020年,26344,宇治田原町,"9,217"
2020年,26364,笠置町,"1,039"
2020年,26365,和束町,"3,081"
2020年,26366,精華町,"29,937"
2020年,26367,南山城村,"2,104"
2020年,26407,京丹波町,"12,241"
2020年,26463,伊根町,"1,888"
2020年,26465,与謝野町,"18,092"
2020年,27000,大阪府,"9,182,101"
2020年,27100,大阪市,"3,534,521"
2020年,27102,大阪市都島区,"104,863"
2020年,27103,大阪市福島区,"91,295"
2020年,27104,大阪市此花区,"82,546"
2020年,27106,大阪市西区,"179,332"
2020年,27107,大阪市港区,"84,560"
2020年,27108,大阪市大正区,"65,038"
2020年,27109,大阪市天王寺区,"118,934"
2020年,27111,大阪市浪速区,"106,527"
2020年,27113,大阪市西淀川区,"100,039"
2020年,27114,大阪市東淀川区,"168,784"
2020年,27115,大阪市東成区,"80,991"
2020年,27116,大阪市生野区,"124,269"
2020年,27117,大阪市旭区,"82,391"
2020年,27118,大阪市城東区,"148,887"
2020年,27119,大阪市阿倍野区,"117,909"
2020年,27120,大阪市住吉区,"140,933"
2020年,27121,大阪市東住吉区,"114,736"
2020年,27122,大阪市西成区,"109,053"
2020年,27123,大阪市淀川区,"226,413"
2020年,27124,大阪市鶴見区,"98,489"
2020年,27125,大阪市住之江区,"139,732"
2020年,27126,大阪市平野区,"179,244"
2020年,27127,大阪市北区,"420,354"
2020年,27128,大阪市中央区,"449,202"
2020年,27140,堺市,"777,430"
2020年,27141,堺市堺区,"171,528"
2020年,27142,堺市中区,"112,927"
2020年,27143,堺市東区,"68,513"
2020年,27144,堺市西区,"129,579"
2020年,27145,堺市南区,"120,770"
2020年,27146,堺市北区,"131,382"
2020年,27147,堺市美原区,"42,731"
2020年,27202,岸和田市,"174,784"
2020年,27203,豊中市,"357,171"
2020年,27204,池田市,"95,726"
2020年,27205,吹田市,"371,024"
2020年,27206,泉大津市,"67,350"
2020年,27207,高槻市,"309,698"
2020年,27208,貝塚市,"75,009"
2020年,27209,守口市,"134,095"
2020年,27210,枚方市,"355,804"
2020年,27211,茨木市,"270,079"
2020年,27212,八尾市,"250,399"
2020年,27213,泉佐野市,"106,183"
2020年,27214,富田林市,"96,962"
2020年,27215,寝屋川市,"203,414"
2020年,27216,河内長野市,"86,977"
2020年,27217,松原市,"107,303"
2020年,27218,大東市,"114,850"
2020年,27219,和泉市,"162,169"
2020年,27220,箕面市,"120,336"
2020年,27221,柏原市,"64,371"
2020年,27222,羽曳野市,"94,505"
2020年,27223,門真市,"129,495"
2020年,27224,摂津市,"95,603"
2020年,27225,高石市,"51,835"
2020年,27226,藤井寺市,"55,102"
2020年,27227,東大阪市,"512,261"
2020年,27228,泉南市,"56,726"
2020年,27229,四條畷市,"47,508"
2020年,27230,交野市,"59,183"
2020年,27231,大阪狭山市,"52,958"
2020年,27232,阪南市,"41,684"
2020年,27301,島本町,"24,496"
2020年,27321,豊能町,"13,636"
2020年,27322,能勢町,"8,528"
2020年,27341,忠岡町,"15,048"
2020年,27361,熊取町,"36,092"
2020年,27362,田尻町,"9,072"
2020年,27366,岬町,"12,600"
2020年,27381,太子町,"10,170"
2020年,27382,河南町,"15,410"
2020年,27383,千早赤阪村,"4,534"
2020年,28000,兵庫県,"5,249,636"
2020年,28100,神戸市,"1,560,753"
2020年,28101,神戸市東灘区,"202,448"
2020年,28102,神戸市灘区,"128,946"
2020年,28105,神戸市兵庫区,"124,576"
2020年,28106,神戸市長田区,"97,219"
2020年,28107,神戸市須磨区,"141,979"
2020年,28108,神戸市垂水区,"171,623"
2020年,28109,神戸市北区,"176,263"
2020年,28110,神戸市中央区,"284,412"
2020年,28111,神戸市西区,"233,287"
2020年,28201,姫路市,"531,747"
2020年,28202,尼崎市,"443,929"
2020年,28203,明石市,"274,720"
2020年,28204,西宮市,"430,122"
2020年,28205,洲本市,"42,506"
2020年,28206,芦屋市,"80,555"
2020年,28207,伊丹市,"184,573"
2020年,28208,相生市,"28,055"
2020年,28209,豊岡市,"78,477"
2020年,28210,加古川市,"234,987"
2020年,28212,赤穂市,"44,586"
2020年,28213,西脇市,"37,350"
2020年,28214,宝塚市,"183,303"
2020年,28215,三木市,"75,974"
2020年,28216,高砂市,"87,810"
2020年,28217,川西市,"123,592"
2020年,28218,小野市,"48,324"
2020年,28219,三田市,"104,676"
2020年,28220,加西市,"45,882"
2020年,28221,丹波篠山市,"37,781"
2020年,28222,養父市,"22,403"
2020年,28223,丹波市,"59,866"
2020年,28224,南あわじ市,"42,837"
2020年,28225,朝来市,"28,547"
2020年,28226,淡路市,"41,427"
2020年,28227,宍粟市,"32,688"
2020年,28228,加東市,"44,147"
2020年,28229,たつの市,"72,387"
2020年,28301,猪名川町,"23,398"
2020年,28365,多可町,"17,211"
2020年,28381,稲美町,"29,858"
2020年,28382,播磨町,"29,234"
2020年,28442,市川町,"9,882"
2020年,28443,福崎町,"21,929"
2020年,28446,神河町,"9,217"
2020年,28464,太子町,"27,349"
2020年,28481,上郡町,"13,528"
2020年,28501,佐用町,"16,019"
2020年,28585,香美町,"15,261"
2020年,28586,新温泉町,"12,746"
2020年,29000,奈良県,"1,206,425"
2020年,29201,奈良市,"336,006"
2020年,29202,大和高田市,"54,235"
2020年,29203,大和郡山市,"88,012"
2020年,29204,天理市,"63,891"
2020年,29205,橿原市,"113,394"
2020年,29206,桜井市,"48,019"
2020年,29207,五條市,"28,919"
2020年,29208,御所市,"24,076"
2020年,29209,生駒市,"96,066"
2020年,29210,香芝市,"61,705"
2020年,29211,葛城市,"31,367"
2020年,29212,宇陀市,"24,150"
2020年,29322,山添村,"3,111"
2020年,29342,平群町,"13,706"
2020年,29343,三郷町,"18,384"
2020年,29344,斑鳩町,"21,456"
2020年,29345,安堵町,"6,172"
2020年,29361,川西町,"8,016"
2020年,29362,三宅町,"4,992"
2020年,29363,田原本町,"28,943"
2020年,29385,曽爾村,"1,234"
2020年,29386,御杖村,"1,400"
2020年,29401,高取町,"6,748"
2020年,29402,明日香村,"4,665"
2020年,29424,上牧町,"18,000"
2020年,29425,王寺町,"20,204"
2020年,29426,広陵町,"27,731"
2020年,29427,河合町,"15,728"
2020年,29441,吉野町,"6,283"
2020年,29442,大淀町,"15,575"
2020年,29443,下市町,"4,532"
2020年,29444,黒滝村,640
2020年,29446,天川村,"1,256"
2020年,29447,野迫川村,383
2020年,29449,十津川村,"3,276"
2020年,29450,下北山村,837
2020年,29451,上北山村,487
2020年,29452,川上村,"1,296"
2020年,29453,東吉野村,"1,530"
2020年,30000,和歌山県,"908,429"
2020年,30201,和歌山市,"369,960"
2020年,30202,海南市,"46,606"
2020年,30203,橋本市,"52,762"
2020年,30204,有田市,"25,292"
2020年,30205,御坊市,"26,937"
2020年,30206,田辺市,"71,064"
2020年,30207,新宮市,"29,601"
2020年,30208,紀の川市,"54,709"
2020年,30209,岩出市,"44,279"
2020年,30304,紀美野町,"7,809"
2020年,30341,かつらぎ町,"15,880"
2020年,30343,九度山町,"3,372"
2020年,30344,高野町,"3,419"
2020年,30361,湯浅町,"11,221"
2020年,30362,広川町,"6,200"
2020年,30366,有田川町,"23,804"
2020年,30381,美浜町,"5,842"
2020年,30382,日高町,"5,642"
2020年,30383,由良町,"4,917"
2020年,30390,印南町,"7,123"
2020年,30391,みなべ町,"11,876"
2020年,30392,日高川町,"8,597"
2020年,30401,白浜町,"20,536"
2020年,30404,上富田町,"13,995"
2020年,30406,すさみ町,"3,525"
2020年,30421,那智勝浦町,"13,446"
2020年,30422,太地町,"2,309"
2020年,30424,古座川町,"2,446"
2020年,30427,北山村,454
2020年,30428,串本町,"14,806"
2020年,31000,鳥取県,"552,505"
2020年,31201,鳥取市,"194,088"
2020年,31202,米子市,"152,603"
2020年,31203,倉吉市,"52,159"
2020年,31204,境港市,"32,745"
2020年,31302,岩美町,"9,041"
2020年,31325,若桜町,"2,566"
2020年,31328,智頭町,"6,036"
2020年,31329,八頭町,"12,978"
2020年,31364,三朝町,"5,335"
2020年,31370,湯梨浜町,"12,777"
2020年,31371,琴浦町,"15,384"
2020年,31372,北栄町,"12,659"
2020年,31384,日吉津村,"3,513"
2020年,31386,大山町,"13,138"
2020年,31389,南部町,"8,849"
2020年,31390,伯耆町,"8,879"
2020年,31401,日南町,"4,095"
2020年,31402,日野町,"3,077"
2020年,31403,江府町,"2,583"
2020年,32000,島根県,"671,741"
2020年,32201,松江市,"209,721"
2020年,32202,浜田市,"55,882"
2020年,32203,出雲市,"170,387"
2020年,32204,益田市,"45,285"
2020年,32205,大田市,"32,516"
2020年,32206,安来市,"36,112"
2020年,32207,江津市,"22,465"
2020年,32209,雲南市,"33,841"
2020年,32343,奥出雲町,"11,472"
2020年,32386,飯南町,"4,709"
2020年,32441,川本町,"3,687"
2020年,32448,美郷町,"3,890"
2020年,32449,邑南町,"10,049"
2020年,32501,津和野町,"6,499"
2020年,32505,吉賀町,"6,151"
2020年,32525,海士町,"2,304"
2020年,32526,西ノ島町,"2,739"
2020年,32527,知夫村,623
2020年,32528,隠岐の島町,"13,409"
2020年,33000,岡山県,"1,889,120"
2020年,33100,岡山市,"744,752"
2020年,33101,岡山市北区,"365,715"
2020年,33102,岡山市中区,"133,768"
2020年,33103,岡山市東区,"88,851"
2020年,33104,岡山市南区,"156,418"
2020年,33202,倉敷市,"469,637"
2020年,33203,津山市,"101,183"
2020年,33204,玉野市,"55,797"
2020年,33205,笠岡市,"45,957"
2020年,33207,井原市,"36,493"
2020年,33208,総社市,"63,908"
2020年,33209,高梁市,"31,269"
2020年,33210,新見市,"27,555"
2020年,33211,備前市,"34,132"
2020年,33212,瀬戸内市,"35,895"
2020年,33213,赤磐市,"37,379"
2020年,33214,真庭市,"41,988"
2020年,33215,美作市,"25,468"
2020年,33216,浅口市,"29,472"
2020年,33346,和気町,"13,114"
2020年,33423,早島町,"12,877"
2020年,33445,里庄町,"10,376"
2020年,33461,矢掛町,"13,108"
2020年,33586,新庄村,722
2020年,33606,鏡野町,"11,478"
2020年,33622,勝央町,"12,008"
2020年,33623,奈義町,"5,543"
2020年,33643,西粟倉村,"1,279"
2020年,33663,久米南町,"4,379"
