国名,RGBコード,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
USA,"250, 191, 28",15048964.44,15599728.12,16253972.23,16843190.99,17550680.17,18206020.74,18695110.84,19477336.55,20533057.31,21380976.12,21060473.61,23315080.56,25439700
China,"187, 100, 29",6087191.747,7551545.704,8532185.382,9570471.112,10475624.94,11061572.62,11233313.73,12310491.33,13894907.86,14279968.51,14687744.16,17820459.51,17963171.48
Japan,"35, 127, 196",5759071.769,6233147.172,6272362.996,5212328.181,4896994.405,4444930.652,5003677.628,4930837.369,5040880.939,5117993.853,5055587.094,5034620.785,4256410.761
UK,"219, 83, 52",2485482.596,2663805.835,2707089.727,2784853.503,3064708.248,2927911.141,2689106.567,2680148.052,2871340.348,2851407.165,2697806.592,3141506.157,3089072.722
Singapore,"145, 112, 175",239807.9806,279356.4991,295092.8881,307576.3606,314863.5808,307998.5453,319030.0576,343272.8787,376869.4925,376837.5804,348392.0907,423797.1005,466788.4268
