Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
L,CDG,PAR,AYT,AYT,International,Apr-22,11,48.8575475,2.3513765,36.8968908,30.7133233
M,CDG,PAR,PRG,PRG,International,Apr-22,3,48.8575475,2.3513765,50.0755381,14.4378005
M,ORY,PAR,CLY,CLY,Domestic,Apr-22,1,48.8575475,2.3513765,42.567651,8.757222
M,CDG,PAR,GOT,GOT,International,Apr-22,59,48.8575475,2.3513765,57.70887,11.97456
M,CDG,PAR,CAI,CAI,International,Apr-22,4,48.8575475,2.3513765,30.0444196,31.2357116
L,CDG,PAR,OPO,OPO,International,Apr-22,33,48.8575475,2.3513765,37.7412488,-25.6755944
L,CDG,PAR,FAO,FAO,International,Apr-22,4,48.8575475,2.3513765,37.7412488,-25.6755944
M,CDG,PAR,BJL,BJL,International,Apr-22,9,48.8575475,2.3513765,13.454375,-16.5753186
M,CDG,PAR,CPH,CPH,International,Apr-22,20,48.8575475,2.3513765,55.6760968,12.5683371
M,CDG,PAR,PMI,PMI,International,Apr-22,1,48.8575475,2.3513765,39.5726541,2.6568551
M,CDG,PAR,TLS,TLS,Domestic,Apr-22,10,48.8575475,2.3513765,43.6048462,1.442848
L,ORY,PAR,HAM,HAM,International,Apr-22,13,48.8575475,2.3513765,53.5488282,9.9871703
L,CDG,PAR,HAM,HAM,International,Apr-22,25,48.8575475,2.3513765,53.5488282,9.9871703
M,CDG,PAR,AGP,AGP,International,Apr-22,14,48.8575475,2.3513765,28.2915637,-16.6291304
M,CDG,PAR,MRS,MRS,Domestic,Apr-22,1,48.8575475,2.3513765,43.3025742,5.3690743
M,CDG,PAR,ATH,ATH,International,Apr-22,27,48.8575475,2.3513765,37.9838096,23.7275388
M,CDG,PAR,HAJ,HAJ,International,Apr-22,11,48.8575475,2.3513765,52.3758916,9.7320104
M,CDG,PAR,BHX,BHX,International,Apr-22,7,48.8575475,2.3513765,52.4822694,-1.8900078
L,ORY,PAR,TNG,TNG,International,Apr-22,10,48.8575475,2.3513765,35.7594651,-5.8339543
M,CDG,PAR,IST,IST,International,Apr-22,1,48.8575475,2.3513765,41.0082376,28.9783589
M,ORY,PAR,RAK,RAK,International,Apr-22,7,48.8575475,2.3513765,31.6225224,-7.9898258
M,ORY,PAR,TLS,TLS,Domestic,Apr-22,87,48.8575475,2.3513765,43.6048462,1.442848
M,CDG,PAR,NUE,NUE,International,Apr-22,44,48.8575475,2.3513765,49.4542881,11.0745641
L,BVA,PAR,CLJ,CLJ,International,Apr-22,5,48.8575475,2.3513765,46.7712101,23.6236353
L,ORY,PAR,TLS,TLS,Domestic,Apr-22,25,48.8575475,2.3513765,43.6048462,1.442848
M,ORY,PAR,MRU,MRU,International,Apr-22,11,48.8575475,2.3513765,-20.348404,57.552152
M,CDG,PAR,TUN,TUN,International,Apr-22,23,48.8575475,2.3513765,36.8064948,10.1815316
L,ORY,PAR,MAD,MAD,International,Apr-22,84,48.8575475,2.3513765,40.4167279,-3.7032905
M,CDG,PAR,OSL,OSL,International,Apr-22,3,48.8575475,2.3513765,59.9138688,10.7522454
M,ORY,PAR,RAK,RAK,International,Apr-22,77,48.8575475,2.3513765,31.6225224,-7.9898258
L,CDG,PAR,ALC,ALC,International,Apr-22,59,48.8575475,2.3513765,38.3457685,-0.4909444
M,CDG,PAR,ZRH,ZRH,International,Apr-22,13,48.8575475,2.3513765,47.3768866,8.541694
M,CDG,PAR,ESB,ANK,International,Apr-22,3,48.8575475,2.3513765,39.9333635,32.8597419
M,CDG,PAR,IAD,WAS,International,Apr-22,14,48.8575475,2.3513765,47.7510741,-120.7401386
M,CDG,PAR,ORD,CHI,International,Apr-22,30,48.8575475,2.3513765,41.8781136,-87.6297982
L,ORY,PAR,GLA,GLA,International,Apr-22,9,48.8575475,2.3513765,55.8616704,-4.2583345
M,CDG,PAR,LHR,LON,International,Apr-22,27,48.8575475,2.3513765,51.5072178,-0.1275862
M,CDG,PAR,NCL,NCL,International,Apr-22,15,48.8575475,2.3513765,54.978252,-1.61778
M,CDG,PAR,NSI,YAO,International,Apr-22,1,48.8575475,2.3513765,3.8616853,11.5202292
L,BVA,PAR,IAS,IAS,International,Apr-22,13,48.8575475,2.3513765,47.1584549,27.6014418
M,CDG,PAR,MLA,MLA,International,Apr-22,22,48.8575475,2.3513765,35.937496,14.375416
M,CDG,PAR,AUH,AUH,International,Apr-22,1,48.8575475,2.3513765,24.453884,54.3773438
M,CDG,PAR,DJE,DJE,International,Apr-22,45,48.8575475,2.3513765,33.8075978,10.8451467
L,ORY,PAR,OVD,OVD,International,Apr-22,9,48.8575475,2.3513765,43.2504393,-5.9832577
M,CDG,PAR,NRT,TYO,International,Apr-22,17,48.8575475,2.3513765,35.6764225,139.650027
L,ORY,PAR,FUE,FUE,International,Apr-22,13,48.8575475,2.3513765,28.3587436,-14.053676
L,CDG,PAR,GLA,GLA,International,Apr-22,21,48.8575475,2.3513765,55.8616704,-4.2583345
M,CDG,PAR,ZRH,ZRH,International,Apr-22,1,48.8575475,2.3513765,47.3768866,8.541694
M,ORY,PAR,MUC,MUC,International,Apr-22,4,48.8575475,2.3513765,48.1351253,11.5819806
M,CDG,PAR,JFK,NYC,International,Apr-22,23,48.8575475,2.3513765,40.7127753,-74.0059728
M,CDG,PAR,TNR,TNR,International,Apr-22,2,48.8575475,2.3513765,-18.9184607,47.5211293
M,CDG,PAR,MIA,MIA,International,Apr-22,30,48.8575475,2.3513765,25.7616798,-80.1917902
L,ORY,PAR,BER,BER,International,Apr-22,8,48.8575475,2.3513765,52.5200066,13.404954
M,CDG,PAR,ATL,ATL,International,Apr-22,49,48.8575475,2.3513765,33.748752,-84.3876845
M,CDG,PAR,ALG,ALG,International,Apr-22,15,48.8575475,2.3513765,36.753768,3.0587561
M,CDG,PAR,NTE,NTE,Domestic,Apr-22,34,48.8575475,2.3513765,47.218371,-1.553621
M,CDG,PAR,NAP,NAP,International,Apr-22,2,48.8575475,2.3513765,40.8517983,14.26812
L,ORY,PAR,EDI,EDI,International,Apr-22,9,48.8575475,2.3513765,55.953252,-3.188267
M,CDG,PAR,BUD,BUD,International,Apr-22,20,48.8575475,2.3513765,47.497912,19.040235
M,CDG,PAR,TLV,TLV,International,Apr-22,10,48.8575475,2.3513765,32.0852999,34.7817676
M,CDG,PAR,TLV,TLV,International,Apr-22,3,48.8575475,2.3513765,32.0852999,34.7817676
M,CDG,PAR,ACC,ACC,International,Apr-22,13,48.8575475,2.3513765,5.5592846,-0.1974306
M,CDG,PAR,LYS,LYS,Domestic,Apr-22,24,48.8575475,2.3513765,45.764043,4.835659
M,CDG,PAR,LHR,LON,International,Apr-22,69,48.8575475,2.3513765,51.5072178,-0.1275862
M,CDG,PAR,VIE,VIE,International,Apr-22,56,48.8575475,2.3513765,48.2080696,16.3713095
L,ORY,PAR,ALC,ALC,International,Apr-22,19,48.8575475,2.3513765,38.3457685,-0.4909444
L,CDG,PAR,SPU,SPU,International,Apr-22,9,48.8575475,2.3513765,43.5147118,16.4435148
M,ORY,PAR,VIL,VIL,International,Apr-22,4,48.8575475,2.3513765,23.7221111,-15.9347384
L,ORY,PAR,PMI,PMI,International,Apr-22,11,48.8575475,2.3513765,39.5726541,2.6568551
L,ORY,PAR,TNG,TNG,International,Apr-22,11,48.8575475,2.3513765,35.7594651,-5.8339543
L,BVA,PAR,BGY,MIL,International,Apr-22,43,48.8575475,2.3513765,45.468503,9.1824027
M,ORY,PAR,MRS,MRS,Domestic,Apr-22,24,48.8575475,2.3513765,43.3025742,5.3690743
M,CDG,PAR,MAD,MAD,International,Apr-22,60,48.8575475,2.3513765,40.4167279,-3.7032905
M,CDG,PAR,MUC,MUC,International,Apr-22,38,48.8575475,2.3513765,48.1351253,11.5819806
M,CDG,PAR,NCE,NCE,Domestic,Apr-22,5,48.8575475,2.3513765,43.7101728,7.2619532
M,CDG,PAR,MEX,MEX,International,Apr-22,30,48.8575475,2.3513765,19.4326077,-99.133208
L,ORY,PAR,BRI,BRI,International,Apr-22,13,48.8575475,2.3513765,41.1171432,16.8718715
M,CDG,PAR,ARN,STO,International,Apr-22,71,48.8575475,2.3513765,59.3293235,18.0685808
M,CDG,PAR,ORD,CHI,International,Apr-22,21,48.8575475,2.3513765,41.8781136,-87.6297982
M,CDG,PAR,LAX,LAX,International,Apr-22,12,48.8575475,2.3513765,34.0549076,-118.242643
M,ORY,PAR,MUC,MUC,International,Apr-22,45,48.8575475,2.3513765,48.1351253,11.5819806
M,ORY,PAR,FSC,FSC,Domestic,Apr-22,1,48.8575475,2.3513765,41.48734,9.130112
L,CDG,PAR,BIA,BIA,Domestic,Apr-22,23,48.8575475,2.3513765,42.697283,9.450881
L,ORY,PAR,EVN,EVN,International,Apr-22,3,48.8575475,2.3513765,40.1872023,44.515209
M,CDG,PAR,BOM,BOM,International,Apr-22,1,48.8575475,2.3513765,19.0759837,72.8776559
M,ORY,PAR,AJA,AJA,Domestic,Apr-22,45,48.8575475,2.3513765,41.919229,8.738635
M,ORY,PAR,MAD,MAD,International,Apr-22,42,48.8575475,2.3513765,40.4167279,-3.7032905
L,BVA,PAR,SDR,SDR,International,Apr-22,9,48.8575475,2.3513765,28.2915637,-16.6291304
M,BVA,PAR,KIV,KIV,International,Apr-22,11,48.8575475,2.3513765,47.0104529,28.8638103
M,CDG,PAR,DXB,DXB,International,Apr-22,5,48.8575475,2.3513765,25.2048493,55.2707828
M,CDG,PAR,BHX,BHX,International,Apr-22,5,48.8575475,2.3513765,52.4822694,-1.8900078
L,CDG,PAR,BIO,BIO,International,Apr-22,25,48.8575475,2.3513765,43.2633799,-2.9348121
M,CDG,PAR,ZRH,ZRH,International,Apr-22,6,48.8575475,2.3513765,47.3768866,8.541694
M,CDG,PAR,WAW,WAW,International,Apr-22,2,48.8575475,2.3513765,52.2296756,21.0122287
M,CDG,PAR,NAP,NAP,International,Apr-22,20,48.8575475,2.3513765,40.8517983,14.26812
M,CDG,PAR,DUB,DUB,International,Apr-22,20,48.8575475,2.3513765,53.3498053,-6.2603097
M,CDG,PAR,LAD,LAD,International,Apr-22,8,48.8575475,2.3513765,-8.8146556,13.2301756
M,CDG,PAR,TLL,TLL,International,Apr-22,13,48.8575475,2.3513765,59.4369608,24.7535746
M,ORY,PAR,LIS,LIS,International,Apr-22,17,48.8575475,2.3513765,37.7412488,-25.6755944
M,CDG,PAR,ORK,ORK,International,Apr-22,1,48.8575475,2.3513765,51.8985143,-8.4756035
M,CDG,PAR,ALG,ALG,International,Apr-22,5,48.8575475,2.3513765,36.753768,3.0587561
M,ORY,PAR,RUN,RUN,International,Apr-22,29,48.8575475,2.3513765,-20.9202586,55.5136433
M,ORY,PAR,RUN,RUN,International,Apr-22,3,48.8575475,2.3513765,-20.9202586,55.5136433
L,ORY,PAR,MPL,MPL,Domestic,Apr-22,60,48.8575475,2.3513765,43.6108535,3.8761323
M,CDG,PAR,ALG,ALG,International,Apr-22,4,48.8575475,2.3513765,36.753768,3.0587561
L,ORY,PAR,AMM,AMM,International,Apr-22,9,48.8575475,2.3513765,31.9543786,35.9105776
M,ORY,PAR,CAY,CAY,International,Apr-22,12,48.8575475,2.3513765,4.9379774,-52.3354386
M,CDG,PAR,NAP,NAP,International,Apr-22,2,48.8575475,2.3513765,40.8517983,14.26812
M,CDG,PAR,VCE,VCE,International,Apr-22,10,48.8575475,2.3513765,45.440379,12.3159547
M,CDG,PAR,AMS,AMS,International,Apr-22,1,48.8575475,2.3513765,52.3675734,4.9041389
M,CDG,PAR,ICN,SEL,International,Apr-22,15,48.8575475,2.3513765,37.5652129,126.9773517
M,ORY,PAR,ALG,ALG,International,Apr-22,30,48.8575475,2.3513765,36.753768,3.0587561
M,CDG,PAR,WAW,WAW,International,Apr-22,5,48.8575475,2.3513765,52.2296756,21.0122287
M,CDG,PAR,MRS,MRS,Domestic,Apr-22,42,48.8575475,2.3513765,43.3025742,5.3690743
L,CDG,PAR,ADB,IZM,International,Apr-22,13,48.8575475,2.3513765,38.423734,27.142826
L,CDG,PAR,BRS,BRS,International,Apr-22,12,48.8575475,2.3513765,51.454513,-2.58791
M,CDG,PAR,ATH,ATH,International,Apr-22,19,48.8575475,2.3513765,37.9838096,23.7275388
L,ORY,PAR,PRG,PRG,International,Apr-22,8,48.8575475,2.3513765,50.0755381,14.4378005
L,ORY,PAR,BGO,BGO,International,Apr-22,9,48.8575475,2.3513765,60.3912628,5.3220544
M,CDG,PAR,DUS,DUS,International,Apr-22,109,48.8575475,2.3513765,51.2230411,6.7824545
L,ORY,PAR,MAH,MAH,International,Apr-22,17,48.8575475,2.3513765,39.9496287,4.1104449
L,ORY,PAR,OZZ,OZZ,International,Apr-22,8,48.8575475,2.3513765,30.9335436,-6.937016
M,ORY,PAR,DCM,DCM,Domestic,Apr-22,44,48.8575475,2.3513765,43.6075999,2.2419407
M,CDG,PAR,VNO,VNO,International,Apr-22,17,48.8575475,2.3513765,54.6871555,25.2796514
M,CDG,PAR,EDI,EDI,International,Apr-22,1,48.8575475,2.3513765,55.953252,-3.188267
L,CDG,PAR,LPA,LPA,International,Apr-22,20,48.8575475,2.3513765,27.9202202,-15.5474373
