Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency
M,ITM,OSA,HNA,HNA,Domestic,44652,82
M,KIX,OSA,HND,TYO,Domestic,44652,4
L,KIX,OSA,PVG,SHA,International,44652,4
M,ITM,OSA,MSJ,MSJ,Domestic,44652,30
M,ITM,OSA,NGS,NGS,Domestic,44652,14
M,KIX,OSA,HND,TYO,Domestic,44652,26
M,ITM,OSA,KIJ,KIJ,Domestic,44652,93
M,ITM,OSA,FKS,FKS,Domestic,44652,60
M,ITM,OSA,SDJ,SDJ,Domestic,44652,129
M,ITM,OSA,IZO,IZO,Domestic,44652,63
M,ITM,OSA,HND,TYO,Domestic,44652,106
M,ITM,OSA,FUK,FUK,Domestic,44652,60
M,ITM,OSA,SDJ,SDJ,Domestic,44652,2
L,KIX,OSA,SGN,SGN,International,44652,1
M,ITM,OSA,AOJ,AOJ,Domestic,44652,90
M,ITM,OSA,OIT,OIT,Domestic,44652,90
M,ITM,OSA,KIJ,KIJ,Domestic,44652,60
M,ITM,OSA,FUK,FUK,Domestic,44652,30
M,ITM,OSA,FUK,FUK,Domestic,44652,30
M,ITM,OSA,NGS,NGS,Domestic,44652,30
M,KIX,OSA,HAN,HAN,International,44652,8
L,UKB,OSA,HND,TYO,Domestic,44652,180
M,KIX,OSA,CDG,PAR,International,44652,13
M,ITM,OSA,KMJ,KMJ,Domestic,44652,85
M,KIX,OSA,HAN,HAN,International,44652,12
M,ITM,OSA,CTS,SPK,Domestic,44652,2
L,KIX,OSA,MMB,MMB,Domestic,44652,23
M,ITM,OSA,FUK,FUK,Domestic,44652,87
M,KIX,OSA,ICN,SEL,International,44652,9
L,KIX,OSA,KUH,KUH,Domestic,44652,26
M,ITM,OSA,HND,TYO,Domestic,44652,1
M,ITM,OSA,FKS,FKS,Domestic,44652,60
M,KIX,OSA,ICN,SEL,International,44652,2
M,KIX,OSA,HKG,HKG,International,44652,26
M,KIX,OSA,MMY,MMY,Domestic,44652,5
M,ITM,OSA,HND,TYO,Domestic,44652,1
M,KIX,OSA,MMY,MMY,Domestic,44652,31
L,KIX,OSA,NGS,NGS,Domestic,44652,48
M,ITM,OSA,SDJ,SDJ,Domestic,44652,30
M,ITM,OSA,HND,TYO,Domestic,44652,1
M,ITM,OSA,KIJ,KIJ,Domestic,44652,2
L,UKB,OSA,CTS,SPK,Domestic,44652,90
M,ITM,OSA,KUM,KUM,Domestic,44652,30
M,ITM,OSA,KOJ,KOJ,Domestic,44652,94
M,KIX,OSA,OKA,OKA,Domestic,44652,37
M,ITM,OSA,FUK,FUK,Domestic,44652,1
M,KIX,OSA,MMY,MMY,Domestic,44652,1
L,KIX,OSA,HAN,HAN,International,44652,6
M,ITM,OSA,HND,TYO,Domestic,44652,1
M,KIX,OSA,BKK,BKK,International,44652,1
L,KIX,OSA,FUK,FUK,Domestic,44652,92
M,UKB,OSA,HNA,HNA,Domestic,44652,30
M,ITM,OSA,CTS,SPK,Domestic,44652,105
L,KIX,OSA,NRT,TYO,Domestic,44652,30
M,ITM,OSA,HKD,HKD,Domestic,44652,30
M,ITM,OSA,FUK,FUK,Domestic,44652,30
M,KIX,OSA,TPE,TPE,International,44652,10
M,UKB,OSA,KCZ,KCZ,Domestic,44652,30
M,KIX,OSA,HND,TYO,Domestic,44652,29
M,KIX,OSA,SGN,SGN,International,44652,10
M,KIX,OSA,OKA,OKA,Domestic,44652,59
M,ITM,OSA,KOJ,KOJ,Domestic,44652,30
M,KIX,OSA,TPE,TPE,International,44652,9
M,ITM,OSA,KIJ,KIJ,Domestic,44652,60
M,ITM,OSA,ASJ,ASJ,Domestic,44652,30
L,UKB,OSA,IBR,IBR,Domestic,44652,90
M,ITM,OSA,OKA,OKA,Domestic,44652,9
M,ITM,OSA,KOJ,KOJ,Domestic,44652,58
M,UKB,OSA,KIJ,KIJ,Domestic,44682,31
M,UKB,OSA,HNA,HNA,Domestic,44682,31
M,KIX,OSA,MMY,MMY,Domestic,44682,8
M,KIX,OSA,OKA,OKA,Domestic,44682,2
M,ITM,OSA,MSJ,MSJ,Domestic,44682,31
M,UKB,OSA,HND,TYO,Domestic,44682,31
M,UKB,OSA,CTS,SPK,Domestic,44682,62
L,KIX,OSA,HAN,HAN,International,44682,17
M,KIX,OSA,OKA,OKA,Domestic,44682,63
M,KIX,OSA,HND,TYO,Domestic,44682,9
M,ITM,OSA,AXT,AXT,Domestic,44682,62
L,KIX,OSA,SGN,SGN,International,44682,17
M,KIX,OSA,TPE,TPE,International,44682,7
M,ITM,OSA,KMI,KMI,Domestic,44682,1
L,UKB,OSA,KOJ,KOJ,Domestic,44682,62
L,UKB,OSA,IBR,IBR,Domestic,44682,93
M,ITM,OSA,KMI,KMI,Domestic,44682,93
