Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
M,SIN,SIN,HAN,HAN,International,Apr-22,17,1.352083,103.819836,21.0277644,105.8341598
L,SIN,SIN,PER,PER,International,Apr-22,9,1.352083,103.819836,-31.9513993,115.8616783
M,SIN,SIN,POM,POM,International,Apr-22,20,1.352083,103.819836,-9.4790043,147.1494164
M,SIN,SIN,COK,COK,International,Apr-22,30,1.352083,103.819836,9.9312328,76.2673041
L,SIN,SIN,LGK,LGK,International,Apr-22,18,1.352083,103.819836,6.3661203,99.7798102
L,SIN,SIN,HKT,HKT,International,Apr-22,24,1.352083,103.819836,7.8804479,98.3922504
M,SIN,SIN,MAA,MAA,International,Apr-22,44,1.352083,103.819836,13.0930694,80.2888899
M,SIN,SIN,TPE,TPE,International,Apr-22,51,1.352083,103.819836,25.0329636,121.5654268
L,SIN,SIN,CRK,CRK,International,Apr-22,54,1.352083,103.819836,#N/A,#N/A
M,SIN,SIN,SYD,SYD,International,Apr-22,5,1.352083,103.819836,-33.8688197,151.2092955
L,SIN,SIN,HDY,HDY,International,Apr-22,7,1.352083,103.819836,7.0086472,100.4746879
M,SIN,SIN,KTM,KTM,International,Apr-22,4,1.352083,103.819836,27.7172453,85.3239605
M,SIN,SIN,DAC,DAC,International,Apr-22,20,1.352083,103.819836,23.804093,90.4152376
M,SIN,SIN,HKG,HKG,International,Apr-22,25,1.352083,103.819836,22.3193039,114.1693611
M,SIN,SIN,ADL,ADL,International,Apr-22,25,1.352083,103.819836,-34.9284989,138.6007456
M,SIN,SIN,CPH,CPH,International,Apr-22,21,1.352083,103.819836,55.6760968,12.5683371
L,SIN,SIN,HKG,HKG,International,Apr-22,4,1.352083,103.819836,22.3193039,114.1693611
M,SIN,SIN,DEL,DEL,International,Apr-22,14,1.352083,103.819836,28.7040592,77.1024902
M,SIN,SIN,FRA,FRA,International,Apr-22,30,1.352083,103.819836,50.1109221,8.6821267
M,SIN,SIN,RGN,RGN,International,Apr-22,4,1.352083,103.819836,16.840939,96.173526
M,SIN,SIN,CGK,JKT,International,Apr-22,2,1.352083,103.819836,-6.1944491,106.8229198
M,SIN,SIN,BKK,BKK,International,Apr-22,1,1.352083,103.819836,13.7563309,100.5017651
L,SIN,SIN,HKT,HKT,International,Apr-22,22,1.352083,103.819836,7.8804479,98.3922504
L,SIN,SIN,PNH,PNH,International,Apr-22,21,1.352083,103.819836,11.5563738,104.9282099
M,SIN,SIN,CGK,JKT,International,Apr-22,49,1.352083,103.819836,-6.1944491,106.8229198
M,SIN,SIN,DXB,DXB,International,Apr-22,29,1.352083,103.819836,25.2048493,55.2707828
L,SIN,SIN,IPH,IPH,International,Apr-22,36,1.352083,103.819836,4.6005126,101.0757837
M,SIN,SIN,CMB,CMB,International,Apr-22,6,1.352083,103.819836,6.9270786,79.861243
L,SIN,SIN,SGN,SGN,International,Apr-22,43,1.352083,103.819836,10.8230989,106.6296638
L,SIN,SIN,MNL,MNL,International,Apr-22,30,1.352083,103.819836,14.5995124,120.9842195
M,SIN,SIN,PER,PER,International,Apr-22,13,1.352083,103.819836,-31.9513993,115.8616783
M,SIN,SIN,BKK,BKK,International,Apr-22,10,1.352083,103.819836,13.7563309,100.5017651
M,SIN,SIN,PER,PER,International,Apr-22,60,1.352083,103.819836,-31.9513993,115.8616783
M,SIN,SIN,AKL,AKL,International,Apr-22,5,1.352083,103.819836,-36.8508827,174.7644881
M,SIN,SIN,HKT,HKT,International,Apr-22,4,1.352083,103.819836,7.8804479,98.3922504
M,SIN,SIN,NRT,TYO,International,Apr-22,17,1.352083,103.819836,35.6764225,139.650027
M,SIN,SIN,CGK,JKT,International,Apr-22,1,1.352083,103.819836,-6.1944491,106.8229198
L,SIN,SIN,DPS,DPS,International,Apr-22,30,1.352083,103.819836,-8.3405389,115.0919509
M,SIN,SIN,PEN,PEN,International,Apr-22,47,1.352083,103.819836,5.2632341,100.4846227
L,SIN,SIN,TRZ,TRZ,International,Apr-22,60,1.352083,103.819836,10.7904833,78.7046725
M,SIN,SIN,DPS,DPS,International,Apr-22,60,1.352083,103.819836,-8.3405389,115.0919509
L,SIN,SIN,BKK,BKK,International,Apr-22,30,1.352083,103.819836,13.7563309,100.5017651
L,SIN,SIN,TRZ,TRZ,International,Apr-22,30,1.352083,103.819836,10.7904833,78.7046725
M,SIN,SIN,BWN,BWN,International,Apr-22,8,1.352083,103.819836,4.8923413,114.9419021
M,SIN,SIN,LAX,LAX,International,Apr-22,2,1.352083,103.819836,34.0549076,-118.242643
L,SIN,SIN,HKT,HKT,International,Apr-22,14,1.352083,103.819836,7.8804479,98.3922504
M,SIN,SIN,HEL,HEL,International,Apr-22,26,1.352083,103.819836,60.1698557,24.938379
M,SIN,SIN,NAN,NAN,International,Apr-22,2,1.352083,103.819836,-17.7806257,177.4298961
M,SIN,SIN,HYD,HYD,International,Apr-22,30,1.352083,103.819836,17.406498,78.4772439
M,SIN,SIN,BLR,BLR,International,Apr-22,30,1.352083,103.819836,12.9715987,77.5945627
