Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
M,JFK,NYC,AMS,AMS,International,Apr-22,28,40.7127753,-74.0059728,52.3675734,4.9041389
L,JFK,NYC,CHS,CHS,Domestic,Apr-22,30,40.7127753,-74.0059728,32.7833163,-79.9319664
M,EWR,NYC,DEN,DEN,Domestic,Apr-22,16,40.7127753,-74.0059728,39.7392358,-104.990251
L,JFK,NYC,MCO,ORL,Domestic,Apr-22,1,40.7127753,-74.0059728,28.5383832,-81.3789269
M,LGA,NYC,RDU,RDU,Domestic,Apr-22,55,40.7127753,-74.0059728,35.9940329,-78.898619
M,LGA,NYC,OMA,OMA,Domestic,Apr-22,69,40.7127753,-74.0059728,41.2565369,-95.9345034
M,LGA,NYC,BTV,BTV,Domestic,Apr-22,30,40.7127753,-74.0059728,44.4758825,-73.212072
M,JFK,NYC,SAN,SAN,Domestic,Apr-22,9,40.7127753,-74.0059728,32.715738,-117.1610838
M,JFK,NYC,BOS,BOS,Domestic,Apr-22,17,40.7127753,-74.0059728,42.3600825,-71.0588801
M,EWR,NYC,BRU,BRU,International,Apr-22,30,40.7127753,-74.0059728,50.8476424,4.3571696
L,JFK,NYC,MSY,MSY,Domestic,Apr-22,21,40.7127753,-74.0059728,29.9510658,-90.0715323
M,LGA,NYC,GSO,GSO,Domestic,Apr-22,106,40.7127753,-74.0059728,36.0725632,-79.791534
M,EWR,NYC,PDX,PDX,Domestic,Apr-22,2,40.7127753,-74.0059728,45.515232,-122.6783853
M,EWR,NYC,LAS,LAS,Domestic,Apr-22,54,40.7127753,-74.0059728,36.171563,-115.1391009
L,JFK,NYC,SJC,SJC,Domestic,Apr-22,30,40.7127753,-74.0059728,37.33874,-121.8852525
M,EWR,NYC,CMH,CMH,Domestic,Apr-22,44,40.7127753,-74.0059728,39.9611755,-82.9987942
M,EWR,NYC,GSP,GSP,Domestic,Apr-22,21,40.7127753,-74.0059728,35.612661,-77.3663538
M,EWR,NYC,SFO,SFO,Domestic,Apr-22,14,40.7127753,-74.0059728,37.7749295,-122.4194155
L,JFK,NYC,SAT,SAT,Domestic,Apr-22,30,40.7127753,-74.0059728,29.4251905,-98.4945922
L,JFK,NYC,NAS,NAS,International,Apr-22,65,40.7127753,-74.0059728,25.0443312,-77.3503609
L,LGA,NYC,JAX,JAX,Domestic,Apr-22,61,40.7127753,-74.0059728,30.3321838,-81.655651
M,EWR,NYC,MIA,MIA,Domestic,Apr-22,48,40.7127753,-74.0059728,25.7616798,-80.1917902
M,EWR,NYC,PHL,PHL,Domestic,Apr-22,8,40.7127753,-74.0059728,39.1134458,-75.5418687
M,EWR,NYC,PWM,PWM,Domestic,Apr-22,43,40.7127753,-74.0059728,45.515232,-122.6783853
M,EWR,NYC,SEA,SEA,Domestic,Apr-22,28,40.7127753,-74.0059728,47.6061389,-122.3328481
M,EWR,NYC,IAH,HOU,Domestic,Apr-22,1,40.7127753,-74.0059728,29.7600771,-95.3701108
M,JFK,NYC,CMN,CMN,International,Apr-22,3,40.7127753,-74.0059728,#N/A,#N/A
L,LGA,NYC,MYR,MYR,Domestic,Apr-22,60,40.7127753,-74.0059728,33.6954218,-78.8802094
L,LGA,NYC,MCO,ORL,Domestic,Apr-22,30,40.7127753,-74.0059728,28.5383832,-81.3789269
M,EWR,NYC,YYZ,YTO,International,Apr-22,145,40.7127753,-74.0059728,43.653226,-79.3831843
M,JFK,NYC,FRA,FRA,International,Apr-22,30,40.7127753,-74.0059728,50.1109221,8.6821267
M,JFK,NYC,CDG,PAR,International,Apr-22,30,40.7127753,-74.0059728,48.8575475,2.3513765
L,EWR,NYC,AUA,AUA,International,Apr-22,5,40.7127753,-74.0059728,12.52111,-69.968338
M,EWR,NYC,FRA,FRA,International,Apr-22,30,40.7127753,-74.0059728,50.1109221,8.6821267
M,EWR,NYC,LIS,LIS,International,Apr-22,59,40.7127753,-74.0059728,37.7412488,-25.6755944
M,JFK,NYC,HND,TYO,International,Apr-22,30,40.7127753,-74.0059728,35.6764225,139.650027
M,EWR,NYC,DFW,DFW,Domestic,Apr-22,28,40.7127753,-74.0059728,32.7078751,-96.9209135
M,JFK,NYC,MXP,MIL,International,Apr-22,20,40.7127753,-74.0059728,45.468503,9.1824027
M,LGA,NYC,DFW,DFW,Domestic,Apr-22,4,40.7127753,-74.0059728,32.7078751,-96.9209135
M,EWR,NYC,KEF,REK,International,Apr-22,6,40.7127753,-74.0059728,64.1469868,-21.9407552
M,JFK,NYC,LFW,LFW,International,Apr-22,9,40.7127753,-74.0059728,6.1295577,1.2196502
L,EWR,NYC,RDU,RDU,Domestic,Apr-22,2,40.7127753,-74.0059728,35.9940329,-78.898619
M,JFK,NYC,DEN,DEN,Domestic,Apr-22,16,40.7127753,-74.0059728,39.7392358,-104.990251
M,EWR,NYC,SAT,SAT,Domestic,Apr-22,27,40.7127753,-74.0059728,29.4251905,-98.4945922
M,JFK,NYC,DTW,DTT,Domestic,Apr-22,1,40.7127753,-74.0059728,42.331427,-83.0457538
L,LGA,NYC,DEN,DEN,Domestic,Apr-22,73,40.7127753,-74.0059728,39.7392358,-104.990251
M,JFK,NYC,MXP,MIL,International,Apr-22,30,40.7127753,-74.0059728,45.468503,9.1824027
