Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
M,LHR,LON,OPO,OPO,International,Apr-22,35,51.5072178,-0.1275862,37.7412488,-25.6755944
M,LHR,LON,ZYL,ZYL,International,Apr-22,5,51.5072178,-0.1275862,24.9047808,91.8600079
M,LHR,LON,BRU,BRU,International,Apr-22,31,51.5072178,-0.1275862,50.8476424,4.3571696
M,LHR,LON,AMS,AMS,International,Apr-22,22,51.5072178,-0.1275862,52.3675734,4.9041389
M,LGW,LON,DOH,DOH,International,Apr-22,1,51.5072178,-0.1275862,25.2854473,51.5310398
L,STN,LON,GLA,GLA,Domestic,Apr-22,46,51.5072178,-0.1275862,55.8616704,-4.2583345
M,LHR,LON,BER,BER,International,Apr-22,9,51.5072178,-0.1275862,52.5200066,13.404954
M,LGW,LON,ACE,ACE,International,Apr-22,1,51.5072178,-0.1275862,29.0468535,-13.5899733
M,LHR,LON,PMI,PMI,International,Apr-22,18,51.5072178,-0.1275862,39.5726541,2.6568551
L,LTN,LON,LPA,LPA,International,Apr-22,4,51.5072178,-0.1275862,27.9202202,-15.5474373
L,LGW,LON,BCN,BCN,International,Apr-22,27,51.5072178,-0.1275862,41.3873974,2.168568
M,LHR,LON,LAX,LAX,International,Apr-22,60,51.5072178,-0.1275862,34.0549076,-118.242643
M,LHR,LON,STR,STR,International,Apr-22,2,51.5072178,-0.1275862,48.7758459,9.1829321
M,LGW,LON,GCI,GCI,Domestic,Apr-22,51,51.5072178,-0.1275862,55.378051,-3.435973
M,LGW,LON,DOH,DOH,International,Apr-22,29,51.5072178,-0.1275862,25.2854473,51.5310398
M,LHR,LON,NCL,NCL,Domestic,Apr-22,3,51.5072178,-0.1275862,54.978252,-1.61778
M,LHR,LON,NBO,NBO,International,Apr-22,25,51.5072178,-0.1275862,-1.2920659,36.8219462
L,LGW,LON,GIB,GIB,International,Apr-22,31,51.5072178,-0.1275862,36.140751,-5.353585
L,LGW,LON,BER,BER,International,Apr-22,52,51.5072178,-0.1275862,52.5200066,13.404954
L,STN,LON,AGP,AGP,International,Apr-22,1,51.5072178,-0.1275862,28.2915637,-16.6291304
M,LHR,LON,VCE,VCE,International,Apr-22,1,51.5072178,-0.1275862,45.440379,12.3159547
L,LGW,LON,JER,JER,Domestic,Apr-22,49,51.5072178,-0.1275862,49.2137711,-2.1357662
L,LGW,LON,TIA,TIA,International,Apr-22,8,51.5072178,-0.1275862,41.3275459,19.8186982
L,LGW,LON,KLX,KLX,International,Apr-22,8,51.5072178,-0.1275862,37.0366386,22.1143716
L,STN,LON,PFO,PFO,International,Apr-22,44,51.5072178,-0.1275862,34.7753949,32.4217786
L,STN,LON,GOA,GOA,International,Apr-22,17,51.5072178,-0.1275862,44.4071448,8.9347381
M,LHR,LON,FRA,FRA,International,Apr-22,1,51.5072178,-0.1275862,50.1109221,8.6821267
M,LHR,LON,JFK,NYC,International,Apr-22,49,51.5072178,-0.1275862,40.7127753,-74.0059728
M,LGW,LON,ISB,ISB,International,Apr-22,15,51.5072178,-0.1275862,33.6995086,73.0362897
M,LHR,LON,EDI,EDI,Domestic,Apr-22,26,51.5072178,-0.1275862,55.953252,-3.188267
L,STN,LON,VLC,VLC,International,Apr-22,16,51.5072178,-0.1275862,39.4738338,-0.3756348
L,STN,LON,SOF,SOF,International,Apr-22,7,51.5072178,-0.1275862,42.6977082,23.3218675
M,LGW,LON,TFS,TCI,International,Apr-22,3,51.5072178,-0.1275862,28.2915637,-16.6291304
L,LHR,LON,DUS,DUS,International,Apr-22,3,51.5072178,-0.1275862,51.2230411,6.7824545
L,LGW,LON,FAO,FAO,International,Apr-22,21,51.5072178,-0.1275862,37.7412488,-25.6755944
L,LTN,LON,PRN,PRN,International,Apr-22,15,51.5072178,-0.1275862,42.6629138,21.1655028
M,LHR,LON,OSL,OSL,International,Apr-22,93,51.5072178,-0.1275862,59.9138688,10.7522454
M,LHR,LON,JER,JER,Domestic,Apr-22,1,51.5072178,-0.1275862,49.2137711,-2.1357662
L,LTN,LON,BCN,BCN,International,Apr-22,43,51.5072178,-0.1275862,41.3873974,2.168568
L,LHR,LON,HAM,HAM,International,Apr-22,16,51.5072178,-0.1275862,53.5488282,9.9871703
M,LHR,LON,FRA,FRA,International,Apr-22,1,51.5072178,-0.1275862,50.1109221,8.6821267
M,LHR,LON,DOH,DOH,International,Apr-22,60,51.5072178,-0.1275862,25.2854473,51.5310398
M,LGW,LON,MLB,MLB,International,Apr-22,9,51.5072178,-0.1275862,28.0836269,-80.6081089
L,STN,LON,FNC,FNC,International,Apr-22,2,51.5072178,-0.1275862,32.6506129,-16.9082357
M,LHR,LON,JED,JED,International,Apr-22,9,51.5072178,-0.1275862,21.5291545,39.1610863
L,LGW,LON,FNC,FNC,International,Apr-22,43,51.5072178,-0.1275862,32.6506129,-16.9082357
L,STN,LON,DLM,DLM,International,Apr-22,12,51.5072178,-0.1275862,36.76662,28.799991
L,LGW,LON,MXP,MIL,International,Apr-22,3,51.5072178,-0.1275862,45.468503,9.1824027
L,STN,LON,BRI,BRI,International,Apr-22,8,51.5072178,-0.1275862,41.1171432,16.8718715
M,LHR,LON,CPH,CPH,International,Apr-22,14,51.5072178,-0.1275862,55.6760968,12.5683371
L,STN,LON,IBZ,IBZ,International,Apr-22,2,51.5072178,-0.1275862,39.0200099,1.4821482
L,LGW,LON,LEI,LEI,International,Apr-22,12,51.5072178,-0.1275862,36.8512151,-2.4521658
M,LGW,LON,LIS,LIS,International,Apr-22,11,51.5072178,-0.1275862,37.7412488,-25.6755944
L,LGW,LON,TIV,TIV,International,Apr-22,4,51.5072178,-0.1275862,42.4319094,18.6986213
L,LTN,LON,ALC,ALC,International,Apr-22,18,51.5072178,-0.1275862,38.3457685,-0.4909444
L,LGW,LON,OLB,OLB,International,Apr-22,14,51.5072178,-0.1275862,40.9236401,9.4964224
L,LGW,LON,GNB,LYS,International,Apr-22,3,51.5072178,-0.1275862,45.764043,4.835659
M,LHR,LON,SOF,SOF,International,Apr-22,17,51.5072178,-0.1275862,42.6977082,23.3218675
M,LHR,LON,MAN,MAN,Domestic,Apr-22,4,51.5072178,-0.1275862,53.4807593,-2.2426305
L,LTN,LON,ZRH,ZRH,International,Apr-22,5,51.5072178,-0.1275862,47.3768866,8.541694
M,LHR,LON,MIA,MIA,International,Apr-22,30,51.5072178,-0.1275862,25.7616798,-80.1917902
L,STN,LON,ADB,IZM,International,Apr-22,8,51.5072178,-0.1275862,38.423734,27.142826
M,LHR,LON,SFO,SFO,International,Apr-22,3,51.5072178,-0.1275862,37.7749295,-122.4194155
M,LCY,LON,GVA,GVA,International,Apr-22,46,51.5072178,-0.1275862,46.2043907,6.1431577
M,LHR,LON,YVR,YVR,International,Apr-22,26,51.5072178,-0.1275862,49.2827291,-123.1207375
M,LGW,LON,UVF,SLU,International,Apr-22,4,51.5072178,-0.1275862,13.909444,-60.978893
L,LGW,LON,ABZ,ABZ,Domestic,Apr-22,46,51.5072178,-0.1275862,57.1498891,-2.0937528
L,LTN,LON,DLM,DLM,International,Apr-22,19,51.5072178,-0.1275862,36.76662,28.799991
M,LHR,LON,KEF,REK,International,Apr-22,5,51.5072178,-0.1275862,64.1469868,-21.9407552
M,LHR,LON,DUS,DUS,International,Apr-22,15,51.5072178,-0.1275862,51.2230411,6.7824545
M,LHR,LON,BSL,EAP,International,Apr-22,1,51.5072178,-0.1275862,#N/A,#N/A
L,LGW,LON,BUD,BUD,International,Apr-22,16,51.5072178,-0.1275862,47.497912,19.040235
M,LHR,LON,EWR,NYC,International,Apr-22,134,51.5072178,-0.1275862,40.7127753,-74.0059728
M,LHR,LON,GLA,GLA,Domestic,Apr-22,30,51.5072178,-0.1275862,55.8616704,-4.2583345
M,LHR,LON,IAD,WAS,International,Apr-22,30,51.5072178,-0.1275862,47.7510741,-120.7401386
M,LHR,LON,LAX,LAX,International,Apr-22,3,51.5072178,-0.1275862,34.0549076,-118.242643
L,LHR,LON,STR,STR,International,Apr-22,31,51.5072178,-0.1275862,48.7758459,9.1829321
M,LHR,LON,TLS,TLS,International,Apr-22,1,51.5072178,-0.1275862,43.6048462,1.442848
M,LHR,LON,LIN,MIL,International,Apr-22,1,51.5072178,-0.1275862,45.468503,9.1824027
L,LTN,LON,TLV,TLV,International,Apr-22,1,51.5072178,-0.1275862,32.0852999,34.7817676
L,LTN,LON,DUB,DUB,International,Apr-22,101,51.5072178,-0.1275862,53.3498053,-6.2603097
M,LGW,LON,ACE,ACE,International,Apr-22,20,51.5072178,-0.1275862,29.0468535,-13.5899733
M,LHR,LON,SEA,SEA,International,Apr-22,30,51.5072178,-0.1275862,47.6061389,-122.3328481
M,LHR,LON,ABZ,ABZ,Domestic,Apr-22,20,51.5072178,-0.1275862,57.1498891,-2.0937528
L,STN,LON,CPH,CPH,International,Apr-22,22,51.5072178,-0.1275862,55.6760968,12.5683371
L,LTN,LON,BUD,BUD,International,Apr-22,1,51.5072178,-0.1275862,47.497912,19.040235
M,LHR,LON,SFO,SFO,International,Apr-22,25,51.5072178,-0.1275862,37.7749295,-122.4194155
M,LHR,LON,ORD,CHI,International,Apr-22,4,51.5072178,-0.1275862,41.8781136,-87.6297982
M,LHR,LON,TFS,TCI,International,Apr-22,29,51.5072178,-0.1275862,28.2915637,-16.6291304
M,LGW,LON,SKG,SKG,International,Apr-22,4,51.5072178,-0.1275862,40.6400629,22.9444191
M,LHR,LON,BER,BER,International,Apr-22,45,51.5072178,-0.1275862,52.5200066,13.404954
M,LHR,LON,BCN,BCN,International,Apr-22,1,51.5072178,-0.1275862,41.3873974,2.168568
L,LTN,LON,SCV,SCV,International,Apr-22,21,51.5072178,-0.1275862,47.6634521,26.2732302
M,LHR,LON,HEL,HEL,International,Apr-22,10,51.5072178,-0.1275862,60.1698557,24.938379
M,LHR,LON,TLV,TLV,International,Apr-22,24,51.5072178,-0.1275862,32.0852999,34.7817676
L,LTN,LON,GVA,GVA,International,Apr-22,14,51.5072178,-0.1275862,46.2043907,6.1431577
L,LGW,LON,CAG,CAG,International,Apr-22,5,51.5072178,-0.1275862,39.2237323,9.1217194
L,LTN,LON,PDV,PDV,International,Apr-22,3,51.5072178,-0.1275862,42.1354079,24.7452904
L,STN,LON,ACE,ACE,International,Apr-22,61,51.5072178,-0.1275862,29.0468535,-13.5899733
M,LHR,LON,OSL,OSL,International,Apr-22,1,51.5072178,-0.1275862,59.9138688,10.7522454
M,LGW,LON,GVA,GVA,International,Apr-22,1,51.5072178,-0.1275862,46.2043907,6.1431577
M,LHR,LON,FCO,ROM,International,Apr-22,43,51.5072178,-0.1275862,41.8967068,12.4822025
M,LHR,LON,TUN,TUN,International,Apr-22,1,51.5072178,-0.1275862,36.8064948,10.1815316
L,STN,LON,TMP,TMP,International,Apr-22,5,51.5072178,-0.1275862,61.4971456,23.7525985
L,LGW,LON,HER,HER,International,Apr-22,11,51.5072178,-0.1275862,35.3387352,25.1442126
L,STN,LON,MLA,MLA,International,Apr-22,1,51.5072178,-0.1275862,35.937496,14.375416
L,STN,LON,LRH,LRH,International,Apr-22,10,51.5072178,-0.1275862,46.160329,-1.151139
M,LHR,LON,MXP,MIL,International,Apr-22,1,51.5072178,-0.1275862,45.468503,9.1824027
M,LGW,LON,AGP,AGP,International,Apr-22,10,51.5072178,-0.1275862,28.2915637,-16.6291304
M,LHR,LON,HND,TYO,International,Apr-22,1,51.5072178,-0.1275862,35.6764225,139.650027
M,LHR,LON,STR,STR,International,Apr-22,21,51.5072178,-0.1275862,48.7758459,9.1829321
L,STN,LON,VXO,VXO,International,Apr-22,5,51.5072178,-0.1275862,56.8790044,14.8058522
M,LGW,LON,BRI,BRI,International,Apr-22,5,51.5072178,-0.1275862,41.1171432,16.8718715
L,LGW,LON,FCO,ROM,International,Apr-22,39,51.5072178,-0.1275862,41.8967068,12.4822025
L,LGW,LON,SKG,SKG,International,Apr-22,3,51.5072178,-0.1275862,40.6400629,22.9444191
L,LTN,LON,SUJ,SUJ,International,Apr-22,9,51.5072178,-0.1275862,47.8016702,22.8575926
M,LHR,LON,LIN,MIL,International,Apr-22,32,51.5072178,-0.1275862,45.468503,9.1824027
M,LHR,LON,LAX,LAX,International,Apr-22,6,51.5072178,-0.1275862,34.0549076,-118.242643
M,LHR,LON,AMM,AMM,International,Apr-22,29,51.5072178,-0.1275862,31.9543786,35.9105776
M,LGW,LON,NOC,NOC,International,Apr-22,30,51.5072178,-0.1275862,53.7900638,-8.921466
M,LHR,LON,GVA,GVA,International,Apr-22,1,51.5072178,-0.1275862,46.2043907,6.1431577
