Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon,Arr City Name,Arr Country Name
M,HND,TYO,KUH,KUH,Domestic,22-Apr,16,35.6811673,139.7670516,42.9849413,144.381804,KUSHIRO,Japan
L,HND,TYO,KMI,KMI,Domestic,22-Apr,180,35.6811673,139.7670516,31.9077285,131.4202196,MIYAZAKI,Japan
M,HND,TYO,KMJ,KMJ,Domestic,22-Apr,2,35.6811673,139.7670516,32.8032164,130.7079369,KUMAMOTO,Japan
M,HND,TYO,TKS,TKS,Domestic,22-Apr,12,35.6811673,139.7670516,34.0703652,134.5549537,TOKUSHIMA,Japan
M,HND,TYO,KIX,OSA,Domestic,22-Apr,1,35.6811673,139.7670516,34.6937249,135.5022535,OSAKA,Japan
M,HND,TYO,GAJ,GAJ,Domestic,22-Apr,60,35.6811673,139.7670516,38.2554153,140.3396175,YAMAGATA,Japan
M,HND,TYO,ISG,ISG,Domestic,22-Apr,6,35.6811673,139.7670516,24.3406856,124.1555837,ISHIGAKI,Japan
M,HND,TYO,HIJ,HIJ,Domestic,22-Apr,19,35.6811673,139.7670516,34.3852894,132.4553055,HIROSHIMA,Japan
M,HND,TYO,TSA,TPE,International,22-Apr,1,35.6811673,139.7670516,25.0329636,121.5654268,TAIPEI,Chinese Taipei
M,HND,TYO,KUH,KUH,Domestic,22-Apr,60,35.6811673,139.7670516,42.9849413,144.381804,KUSHIRO,Japan
M,HND,TYO,OBO,OBO,Domestic,22-Apr,1,35.6811673,139.7670516,42.9233354,143.197199,OBIHIRO,Japan
L,NRT,TYO,OIT,OIT,Domestic,22-Apr,64,35.6811673,139.7670516,33.2396084,131.6095148,OITA,Japan
M,NRT,TYO,ICN,SEL,International,22-Apr,10,35.6811673,139.7670516,37.5652129,126.9773517,SEOUL,Korea (Rep. of)
M,HND,TYO,IZO,IZO,Domestic,22-Apr,1,35.6811673,139.7670516,35.3670442,132.7546943,IZUMO,Japan
M,HND,TYO,MMY,MMY,Domestic,22-Apr,1,35.6811673,139.7670516,39.6394645,141.9462611,MIYAKO,Japan
M,HND,TYO,ITM,OSA,Domestic,22-Apr,28,35.6811673,139.7670516,34.6937249,135.5022535,OSAKA,Japan
M,HND,TYO,SDJ,SDJ,Domestic,22-Apr,33,35.6811673,139.7670516,38.268195,140.869418,SENDAI,Japan
M,HND,TYO,OKA,OKA,Domestic,22-Apr,67,35.6811673,139.7670516,26.3343533,127.8056058,OKINAWA,Japan
M,HND,TYO,HAC,HAC,Domestic,22-Apr,3,35.6811673,139.7670516,33.1030212,139.8035566,HACHIJOJIMA,Japan
M,NRT,TYO,BKK,BKK,International,22-Apr,2,35.6811673,139.7670516,13.7563309,100.5017651,BANGKOK,Thailand
M,HND,TYO,KUH,KUH,Domestic,22-Apr,38,35.6811673,139.7670516,42.9849413,144.381804,KUSHIRO,Japan
M,HND,TYO,KOJ,KOJ,Domestic,22-Apr,7,35.6811673,139.7670516,31.5968539,130.5571392,KAGOSHIMA,Japan
M,HND,TYO,KMQ,KMQ,Domestic,22-Apr,22,35.6811673,139.7670516,36.4084209,136.4458532,KOMATSU,Japan
L,NRT,TYO,NGS,NGS,Domestic,22-Apr,60,35.6811673,139.7670516,32.7503334,129.8778888,NAGASAKI,Japan
M,HND,TYO,SYO,SYO,Domestic,22-Apr,1,35.6811673,139.7670516,38.8498797,139.9048849,SHONAI,Japan
M,HND,TYO,KCZ,KCZ,Domestic,22-Apr,29,35.6811673,139.7670516,33.5588821,133.5312383,KOCHI,Japan
M,HND,TYO,HKD,HKD,Domestic,22-Apr,33,35.6811673,139.7670516,41.7686961,140.7290599,HAKODATE,Japan
L,NRT,TYO,OKA,OKA,Domestic,22-Apr,207,35.6811673,139.7670516,26.3343533,127.8056058,OKINAWA,Japan
M,NRT,TYO,TPE,TPE,International,22-Apr,9,35.6811673,139.7670516,25.0329636,121.5654268,TAIPEI,Chinese Taipei
M,HND,TYO,ORD,CHI,International,22-Apr,30,35.6811673,139.7670516,41.8781136,-87.6297982,CHICAGO,United States of America
M,HND,TYO,HIJ,HIJ,Domestic,22-Apr,1,35.6811673,139.7670516,34.3852894,132.4553055,HIROSHIMA,Japan
M,HND,TYO,OKA,OKA,Domestic,22-Apr,1,35.6811673,139.7670516,26.3343533,127.8056058,OKINAWA,Japan
M,HND,TYO,OKA,OKA,Domestic,22-Apr,13,35.6811673,139.7670516,26.3343533,127.8056058,OKINAWA,Japan
L,NRT,TYO,NGS,NGS,Domestic,22-Apr,19,35.6811673,139.7670516,32.7503334,129.8778888,NAGASAKI,Japan
M,HND,TYO,KMQ,KMQ,Domestic,22-Apr,1,35.6811673,139.7670516,36.4084209,136.4458532,KOMATSU,Japan
L,HND,TYO,SHI,SHI,Domestic,22-Apr,30,35.6811673,139.7670516,24.8183207,125.1543783,SHIMOJISHIMA,Japan
M,HND,TYO,HKD,HKD,Domestic,22-Apr,17,35.6811673,139.7670516,41.7686961,140.7290599,HAKODATE,Japan
M,HND,TYO,KMI,KMI,Domestic,22-Apr,82,35.6811673,139.7670516,31.9077285,131.4202196,MIYAZAKI,Japan
M,NRT,TYO,BKK,BKK,International,22-Apr,30,35.6811673,139.7670516,13.7563309,100.5017651,BANGKOK,Thailand
M,HND,TYO,ITM,OSA,Domestic,22-Apr,54,35.6811673,139.7670516,34.6937249,135.5022535,OSAKA,Japan
M,NRT,TYO,HEL,HEL,International,22-Apr,13,35.6811673,139.7670516,60.1698557,24.938379,HELSINKI,Finland
M,NRT,TYO,HKG,HKG,International,22-Apr,2,35.6811673,139.7670516,22.3193039,114.1693611,HONG KONG,"Hong Kong (SAR), China"
M,HND,TYO,TAK,TAK,Domestic,22-Apr,7,35.6811673,139.7670516,34.342542,134.0465405,TAKAMATSU,Japan
M,HND,TYO,LHR,LON,International,22-Apr,3,35.6811673,139.7670516,51.5031653,-0.1123051,LONDON,United Kingdom
M,HND,TYO,DFW,DFW,International,22-Apr,13,35.6811673,139.7670516,32.7078751,-96.9209135,DALLAS/FORT WORTH,United States of America
M,HND,TYO,CTS,SPK,Domestic,22-Apr,14,35.6811673,139.7670516,43.0617713,141.3544506,SAPPORO,Japan
M,HND,TYO,NGO,NGO,Domestic,22-Apr,29,35.6811673,139.7670516,35.1814506,136.9065571,NAGOYA,Japan
M,HND,TYO,BKK,BKK,International,22-Apr,4,35.6811673,139.7670516,13.7563309,100.5017651,BANGKOK,Thailand
L,NRT,TYO,KOJ,KOJ,Domestic,22-Apr,28,35.6811673,139.7670516,31.5968539,130.5571392,KAGOSHIMA,Japan
M,NRT,TYO,HAN,HAN,International,22-Apr,3,35.6811673,139.7670516,21.0277644,105.8341598,HANOI,Vietnam
M,HND,TYO,KIX,OSA,Domestic,22-Apr,26,35.6811673,139.7670516,34.6937249,135.5022535,OSAKA,Japan
M,HND,TYO,MSJ,MSJ,Domestic,22-Apr,85,35.6811673,139.7670516,40.683157,141.3690006,MISAWA,Japan
M,NRT,TYO,SIN,SIN,International,22-Apr,22,35.6811673,139.7670516,1.2830173,103.8513365,SINGAPORE,Singapore
M,NRT,TYO,BKK,BKK,International,22-Apr,30,35.6811673,139.7670516,13.7563309,100.5017651,BANGKOK,Thailand
L,NRT,TYO,SHI,SHI,Domestic,22-Apr,28,35.6811673,139.7670516,24.8183207,125.1543783,SHIMOJISHIMA,Japan
M,NRT,TYO,PVG,SHA,International,22-Apr,3,35.6811673,139.7670516,31.230416,121.473701,SHANGHAI,"China, People’s Republic of"
M,NRT,TYO,EWR,NYC,International,22-Apr,30,35.6811673,139.7670516,40.7527262,-73.9772294,NEW YORK,United States of America
L,HND,TYO,OKA,OKA,Domestic,22-Apr,180,35.6811673,139.7670516,26.3343533,127.8056058,OKINAWA,Japan
M,HND,TYO,CTS,SPK,Domestic,22-Apr,62,35.6811673,139.7670516,43.0617713,141.3544506,SAPPORO,Japan
M,HND,TYO,AXT,AXT,Domestic,22-Apr,1,35.6811673,139.7670516,39.7192558,140.1042666,AKITA,Japan
M,NRT,TYO,CAN,CAN,International,22-Apr,3,35.6811673,139.7670516,23.1290799,113.26436,GUANGZHOU,"China, People’s Republic of"
M,HND,TYO,NGS,NGS,Domestic,22-Apr,87,35.6811673,139.7670516,32.7503334,129.8778888,NAGASAKI,Japan
M,HND,TYO,HKG,HKG,International,22-Apr,1,35.6811673,139.7670516,22.3193039,114.1693611,HONG KONG,"Hong Kong (SAR), China"
L,NRT,TYO,KMI,KMI,Domestic,22-Apr,60,35.6811673,139.7670516,31.9077285,131.4202196,MIYAZAKI,Japan
L,NRT,TYO,SIN,SIN,International,22-Apr,13,35.6811673,139.7670516,1.2830173,103.8513365,SINGAPORE,Singapore
M,NRT,TYO,BLR,BLR,International,22-Apr,4,35.6811673,139.7670516,12.9715987,77.5945627,BENGALURU,India (including Andaman Isl.)
