Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon,Arr City Name,Arr Country Name
M,SIN,SIN,RGN,RGN,International,22-Apr,3,1.2830173,103.8513365,16.840939,96.173526,YANGON,Myanmar
M,SIN,SIN,CGK,JKT,International,22-Apr,75,1.2830173,103.8513365,-6.1944491,106.8229198,JAKARTA,Indonesia
L,SIN,SIN,KCH,KCH,International,22-Apr,13,1.2830173,103.8513365,1.5533785,110.359503,KUCHING,Malaysia
M,SIN,SIN,HAN,HAN,International,22-Apr,17,1.2830173,103.8513365,21.0277644,105.8341598,HANOI,Vietnam
M,SIN,SIN,DEL,DEL,International,22-Apr,26,1.2830173,103.8513365,28.7040592,77.1024902,DELHI,India (including Andaman Isl.)
L,SIN,SIN,KUL,KUL,International,22-Apr,22,1.2830173,103.8513365,3.1319197,101.6840589,KUALA LUMPUR,Malaysia
M,SIN,SIN,HND,TYO,International,22-Apr,12,1.2830173,103.8513365,35.6811673,139.7670516,TOKYO,Japan
L,SIN,SIN,CEB,CEB,International,22-Apr,22,1.2830173,103.8513365,10.3156992,123.8854366,CEBU,Philippines
M,SIN,SIN,HND,TYO,International,22-Apr,7,1.2830173,103.8513365,35.6811673,139.7670516,TOKYO,Japan
M,SIN,SIN,DAD,DAD,International,22-Apr,1,1.2830173,103.8513365,16.0544068,108.2021667,DA NANG,Vietnam
L,SIN,SIN,MEL,MEL,International,22-Apr,44,1.2830173,103.8513365,-37.8136276,144.9630576,MELBOURNE,Australia
L,SIN,SIN,HAN,HAN,International,22-Apr,15,1.2830173,103.8513365,21.0277644,105.8341598,HANOI,Vietnam
M,SIN,SIN,PBH,PBH,International,22-Apr,1,1.2830173,103.8513365,27.428684,89.4163654,PARO,Bhutan
M,SIN,SIN,SFO,SFO,International,22-Apr,17,1.2830173,103.8513365,37.7749295,-122.4194155,SAN FRANCISCO,United States of America
M,SIN,SIN,DEL,DEL,International,22-Apr,16,1.2830173,103.8513365,28.7040592,77.1024902,DELHI,India (including Andaman Isl.)
M,SIN,SIN,CMB,CMB,International,22-Apr,16,1.2830173,103.8513365,6.9270786,79.861243,COLOMBO,Sri Lanka
M,SIN,SIN,HAN,HAN,International,22-Apr,17,1.2830173,103.8513365,21.0277644,105.8341598,HANOI,Vietnam
L,SIN,SIN,PER,PER,International,22-Apr,9,1.2830173,103.8513365,-31.9513993,115.8616783,PERTH,Australia
M,SIN,SIN,POM,POM,International,22-Apr,20,1.2830173,103.8513365,-9.4790043,147.1494164,PORT MORESBY,Papua New Guinea
M,SIN,SIN,COK,COK,International,22-Apr,30,1.2830173,103.8513365,9.9312328,76.2673041,KOCHI,India (including Andaman Isl.)
L,SIN,SIN,LGK,LGK,International,22-Apr,18,1.2830173,103.8513365,6.3661203,99.7798102,LANGKAWI,Malaysia
L,SIN,SIN,HKT,HKT,International,22-Apr,24,1.2830173,103.8513365,7.8804479,98.3922504,PHUKET,Thailand
M,SIN,SIN,MAA,MAA,International,22-Apr,44,1.2830173,103.8513365,13.0930694,80.2888899,CHENNAI,India (including Andaman Isl.)
M,SIN,SIN,TPE,TPE,International,22-Apr,51,1.2830173,103.8513365,25.0329636,121.5654268,TAIPEI,Chinese Taipei
