Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon,Arr City Name,Arr Country Name
M,FUK,FUK,TPE,TPE,International,22-Apr,5,33.5901838,130.4016888,25.0329694,121.5654177,TAIPEI,Chinese Taipei
M,FUK,FUK,ITM,OSA,Domestic,22-Apr,1,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,ITM,OSA,Domestic,22-Apr,60,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,NGO,NGO,Domestic,22-Apr,360,33.5901838,130.4016888,35.1814506,136.9065571,NAGOYA,Japan
M,FUK,FUK,OKA,OKA,Domestic,22-Apr,154,33.5901838,130.4016888,26.3343533,127.8056058,OKINAWA,Japan
M,FUK,FUK,ITM,OSA,Domestic,22-Apr,30,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Apr,246,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Apr,219,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,TPE,TPE,International,22-Apr,4,33.5901838,130.4016888,25.0329694,121.5654177,TAIPEI,Chinese Taipei
M,FUK,FUK,HNA,HNA,Domestic,22-Apr,30,33.5901838,130.4016888,39.3886253,141.1168998,HANAMAKI,Japan
M,FUK,FUK,TPE,TPE,International,22-Apr,13,33.5901838,130.4016888,25.0329694,121.5654177,TAIPEI,Chinese Taipei
L,FUK,FUK,OKA,OKA,Domestic,22-Apr,90,33.5901838,130.4016888,26.3343533,127.8056058,OKINAWA,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Apr,88,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,SGN,SGN,International,22-Apr,4,33.5901838,130.4016888,10.8230989,106.6296638,HO CHI MINH CITY,Vietnam
M,FUK,FUK,ITM,OSA,Domestic,22-Apr,29,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,CTS,SPK,Domestic,22-Apr,55,33.5901838,130.4016888,43.0617713,141.3544506,SAPPORO,Japan
M,FUK,FUK,ICN,SEL,International,22-Apr,5,33.5901838,130.4016888,37.550263,126.9970831,SEOUL,Korea (Rep. of)
M,FUK,FUK,MNL,MNL,International,22-Apr,6,33.5901838,130.4016888,14.5995124,120.9842195,MANILA,Philippines
L,FUK,FUK,CTS,SPK,Domestic,22-Apr,30,33.5901838,130.4016888,43.0617713,141.3544506,SAPPORO,Japan
L,FUK,FUK,NRT,TYO,Domestic,22-Apr,340,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Apr,253,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Apr,184,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,SIN,SIN,International,22-Apr,9,33.5901838,130.4016888,1.352083,103.819836,SINGAPORE,Singapore
M,FUK,FUK,ASJ,ASJ,Domestic,22-Apr,30,33.5901838,130.4016888,27.7005538,128.8205454,AMAMI,Japan
L,FUK,FUK,KIX,OSA,Domestic,22-Apr,30,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,TKS,TKS,Domestic,22-Apr,41,33.5901838,130.4016888,34.0703652,134.5549537,TOKUSHIMA,Japan
M,FUK,FUK,SDJ,SDJ,Domestic,22-Apr,150,33.5901838,130.4016888,38.268195,140.869418,SENDAI,Japan
M,FUK,FUK,KMI,KMI,Domestic,22-Apr,122,33.5901838,130.4016888,31.9077285,131.4202196,MIYAZAKI,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Apr,11,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,NGO,NGO,Domestic,22-May,49,33.5901838,130.4016888,35.1814506,136.9065571,NAGOYA,Japan
M,FUK,FUK,HNA,HNA,Domestic,22-May,31,33.5901838,130.4016888,39.3886253,141.1168998,HANAMAKI,Japan
M,FUK,FUK,ICN,SEL,International,22-May,2,33.5901838,130.4016888,37.550263,126.9970831,SEOUL,Korea (Rep. of)
M,FUK,FUK,OKA,OKA,Domestic,22-May,2,33.5901838,130.4016888,26.3343533,127.8056058,OKINAWA,Japan
M,FUK,FUK,ITM,OSA,Domestic,22-May,31,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,HND,TYO,Domestic,22-May,84,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
L,FUK,FUK,KIX,OSA,Domestic,22-May,64,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,CTS,SPK,Domestic,22-May,1,33.5901838,130.4016888,43.0617713,141.3544506,SAPPORO,Japan
M,FUK,FUK,SDJ,SDJ,Domestic,22-May,155,33.5901838,130.4016888,38.268195,140.869418,SENDAI,Japan
M,FUK,FUK,ITM,OSA,Domestic,22-May,62,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,OKA,OKA,Domestic,22-May,159,33.5901838,130.4016888,26.3343533,127.8056058,OKINAWA,Japan
M,FUK,FUK,HND,TYO,Domestic,22-May,15,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HND,TYO,Domestic,22-May,49,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
L,FUK,FUK,OKA,OKA,Domestic,22-May,93,33.5901838,130.4016888,26.3343533,127.8056058,OKINAWA,Japan
L,FUK,FUK,CTS,SPK,Domestic,22-May,31,33.5901838,130.4016888,43.0617713,141.3544506,SAPPORO,Japan
M,FUK,FUK,KMI,KMI,Domestic,22-May,141,33.5901838,130.4016888,31.9077285,131.4202196,MIYAZAKI,Japan
M,FUK,FUK,TKS,TKS,Domestic,22-May,62,33.5901838,130.4016888,34.0703652,134.5549537,TOKUSHIMA,Japan
M,FUK,FUK,NGO,NGO,Domestic,22-May,31,33.5901838,130.4016888,35.1814506,136.9065571,NAGOYA,Japan
L,FUK,FUK,NGO,NGO,Domestic,22-May,110,33.5901838,130.4016888,35.1814506,136.9065571,NAGOYA,Japan
L,FUK,FUK,CTS,SPK,Domestic,22-May,31,33.5901838,130.4016888,43.0617713,141.3544506,SAPPORO,Japan
L,FUK,FUK,NRT,TYO,Domestic,22-May,360,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,ITM,OSA,Domestic,22-May,31,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
L,FUK,FUK,OKA,OKA,Domestic,22-May,31,33.5901838,130.4016888,26.3343533,127.8056058,OKINAWA,Japan
M,FUK,FUK,KOJ,KOJ,Domestic,22-May,31,33.5901838,130.4016888,31.5968539,130.5571392,KAGOSHIMA,Japan
M,FUK,FUK,ICN,SEL,International,22-May,4,33.5901838,130.4016888,37.550263,126.9970831,SEOUL,Korea (Rep. of)
M,FUK,FUK,MYJ,MYJ,Domestic,22-May,124,33.5901838,130.4016888,33.8355117,132.7639923,MATSUYAMA,Japan
L,FUK,FUK,OKA,OKA,Domestic,22-May,9,33.5901838,130.4016888,26.3343533,127.8056058,OKINAWA,Japan
M,FUK,FUK,IZO,IZO,Domestic,22-May,62,33.5901838,130.4016888,35.3670442,132.7546943,IZUMO,Japan
M,FUK,FUK,HND,TYO,Domestic,22-May,217,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HND,TYO,Domestic,22-May,25,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,SDJ,SDJ,Domestic,22-May,62,33.5901838,130.4016888,38.268195,140.869418,SENDAI,Japan
L,FUK,FUK,ICN,SEL,International,22-May,12,33.5901838,130.4016888,37.550263,126.9970831,SEOUL,Korea (Rep. of)
L,FUK,FUK,ISG,ISG,Domestic,22-May,31,33.5901838,130.4016888,24.3406856,124.1555837,ISHIGAKI,Japan
M,FUK,FUK,OKA,OKA,Domestic,22-May,127,33.5901838,130.4016888,26.3343533,127.8056058,OKINAWA,Japan
M,FUK,FUK,HND,TYO,Domestic,22-May,3,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,TPE,TPE,International,22-May,4,33.5901838,130.4016888,25.0329694,121.5654177,TAIPEI,Chinese Taipei
M,FUK,FUK,HND,TYO,Domestic,22-May,4,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HND,TYO,Domestic,22-May,6,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HAN,HAN,International,22-May,5,33.5901838,130.4016888,21.0277644,105.8341598,HANOI,Vietnam
M,FUK,FUK,KCZ,KCZ,Domestic,22-May,62,33.5901838,130.4016888,33.5588821,133.5312383,KOCHI,Japan
M,FUK,FUK,NGO,NGO,Domestic,22-May,362,33.5901838,130.4016888,35.1814506,136.9065571,NAGOYA,Japan
M,FUK,FUK,ITM,OSA,Domestic,22-May,2,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,HND,TYO,Domestic,22-May,142,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,SGN,SGN,International,22-May,5,33.5901838,130.4016888,10.8230989,106.6296638,HO CHI MINH CITY,Vietnam
L,FUK,FUK,NRT,TYO,Domestic,22-May,62,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HKG,HKG,International,22-May,12,33.5901838,130.4016888,22.3193039,114.1693611,HONG KONG,"Hong Kong (SAR), China"
M,FUK,FUK,HND,TYO,Domestic,22-May,6,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,PUS,PUS,International,22-May,1,33.5901838,130.4016888,35.1731121,129.0714122,BUSAN,Korea (Rep. of)
M,FUK,FUK,NKM,NGO,Domestic,22-May,155,33.5901838,130.4016888,35.1814506,136.9065571,NAGOYA,Japan
M,FUK,FUK,ICN,SEL,International,22-May,8,33.5901838,130.4016888,37.550263,126.9970831,SEOUL,Korea (Rep. of)
M,FUK,FUK,HND,TYO,Domestic,22-May,34,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,MNL,MNL,International,22-May,9,33.5901838,130.4016888,14.5995124,120.9842195,MANILA,Philippines
M,FUK,FUK,OKA,OKA,Domestic,22-May,93,33.5901838,130.4016888,26.3343533,127.8056058,OKINAWA,Japan
L,FUK,FUK,HND,TYO,Domestic,22-May,372,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,CTS,SPK,Domestic,22-May,62,33.5901838,130.4016888,43.0617713,141.3544506,SAPPORO,Japan
M,FUK,FUK,HND,TYO,Domestic,22-May,42,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
